Shazam Top 50 Liberia
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Myke Towers & Juhn","Bandido"
3,"Carlos Rivera & Maluma","100 Años"
4,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
5,"Llane","Como Antes"
6,"Olivia Rodrigo","drivers license"
7,"Christian Nodal & Ángela Aguilar","Dime Cómo Quieres"
8,"Masked Wolf","Astronaut In The Ocean"
9,"Lady Saw","Ragga Tonseh"
10,"Jessi Uribe","La Culpa"
11,"LA YOUNG","Como Estrellas"
12,"Gotye Feat. Kimbra","Somebody That I Used To Know"
13,"Sech","911"
14,"Boney M.","Rasputin"
15,"Sebastián Yatra & Guaynaa","Chica Ideal"
16,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
17,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
18,"Issam Alnajjar","Hadal Ahbek"
19,"The Weeknd","Save Your Tears"
20,"Fousheé","Deep End"
21,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
22,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
23,"Ovy On The Drums & Danny Ocean Feat. KAROL G","Miedito o Qué?"
24,"Camilo & El Alfa","BEBÉ"
25,"Ricardo Montaner, Camilo & Mau y Ricky Feat. Evaluna Montaner","Amén (Acústico)"
26,"Migrantes, Oscu & Rombai Feat. Agapornis, Alico & Nico Valdi","Si Me Tomo una Cerveza (Remix)"
27,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
28,"Gwen Stefani","Hollaback Girl"
29,"Desconocido","La Canción Más Misteriosa De Internet"
30,"Boza","Hecha Pa' Mi"
31,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
32,"kostromin","Моя голова винтом"
33,"Migos Feat. Young Thug","YRN"
34,"Duncan Laurence","Arcade"
35,"Tones And I","Dance Monkey"
36,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
37,"Jerry Di","Mi Cuarto"
38,"Lyanno, Rauw Alejandro & Lenny Tavarez Feat. Maria Becerra","En Tu Cuerpo (Remix)"
39,"347aidan","Dancing in My Room"
40,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
41,"Tesher","Jalebi Baby"
42,"CNCO","Tan Enamorados"
43,"Ed Sheeran","Afterglow"
44,"Avicii","The Nights"
45,"4 Non Blondes","What's Up?"
46,"Billy Ray Cyrus","Achy Breaky Heart"
47,"Mr. Vegas & Lizi & Walshy Fire","So High"
48,"Natti Natasha & Kany Garcia","Soy MIA"
49,"SoFaygo","Knock Knock"
50,"ElyOtto & Zedivan","Sugar Crash"
