Shazam Top 50 San Francisco
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Carlos Rivera & Maluma","100 Años"
2,"Myke Towers & Juhn","Bandido"
3,"Kali Uchis","telepatía"
4,"Christian Nodal & Ángela Aguilar","Dime Cómo Quieres"
5,"Olivia Rodrigo","drivers license"
6,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
7,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
8,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
9,"Lady Saw","Ragga Tonseh"
10,"Issam Alnajjar","Hadal Ahbek"
11,"Desconocido","La Canción Más Misteriosa De Internet"
12,"Camilo & El Alfa","BEBÉ"
13,"Maluma","Agua de Jamaica"
14,"Lyanno, Rauw Alejandro & Lenny Tavarez Feat. Maria Becerra","En Tu Cuerpo (Remix)"
15,"Llane","Como Antes"
16,"The Weeknd","Blinding Lights"
17,"Masked Wolf","Astronaut In The Ocean"
18,"Jessi Uribe","La Culpa"
19,"Sech","911"
20,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
21,"KAROL G, Anuel AA & J. Balvin","LOCATION"
22,"Ovy On The Drums & Danny Ocean Feat. KAROL G","Miedito o Qué?"
23,"Rauw Alejandro & Anuel AA","Reloj"
24,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
25,"Ricardo Montaner, Camilo & Mau y Ricky Feat. Evaluna Montaner","Amén (Acústico)"
26,"CNCO","Tan Enamorados"
27,"Sebastián Yatra","Adiós"
28,"Natti Natasha & Prince Royce","ANTES QUE SALGA EL SOL"
29,"The Weeknd","Save Your Tears"
30,"ElyOtto & Zedivan","Sugar Crash"
31,"Sebastián Yatra & Guaynaa","Chica Ideal"
32,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
33,"Boza","Hecha Pa' Mi"
34,"Aya Nakamura","Copines"
35,"kostromin","Моя голова винтом"
36,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
37,"Boney M.","Rasputin"
38,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
39,"Wisin, Myke Towers & Los Legendarios","Mi Niña"
40,"Joss Favela & Jessi Uribe","El Alumno"
41,"Gotye Feat. Kimbra","Somebody That I Used To Know"
42,"347aidan","Dancing in My Room"
43,"Paola Jara","No Me Preguntes"
44,"Hippie Sabotage","Devil Eyes"
45,"Piso 21 & Maluma","Más De La Una"
46,"Humbe","Sorpresa Sorpresa"
47,"Fousheé","Deep End"
48,"Ed Sheeran","Afterglow"
49,"Stefflon Don","16 Shots"
50,"Yeison Jimenez","Tu Amante"
