Shazam Top 50 San José
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Boney M.","Rasputin"
2,"The Goo Goo Dolls","Iris"
3,"4 Non Blondes","What's Up?"
4,"Jessi Uribe","Dulce Pecado"
5,"Kali Uchis","telepatía"
6,"CNCO","Tan Enamorados"
7,"Carlos Rivera & Maluma","100 Años"
8,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
9,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
10,"Roxette","Listen To Your Heart"
11,"Laid Back","Sunshine Reggae (Original Mix '82)"
12,"United Guitar Players","Wonderful Tonight (Instrumental Version)"
13,"LA DOMINICANA ORQ.","Lluvia De Besos"
14,"Juan Magan Feat. Farruko","Como El Viento"
15,"Rocío Dúrcal","Costumbres"
16,"Juan Gabriel","Siempre En Mi Mente"
17,"Jose Luis Perales","Te Quiero"
18,"Rubby Perez","Tu Vas A Volar"
19,"Toad The Wet Sprocket","Walk On The Ocean"
20,"Opus","Live Is Life"
21,"Maná","En El Muelle De San Blas"
22,"Ricardo Montaner","Tan Enamorados"
23,"Grupo Limite","Hasta Mañana"
24,"Shakira","Dare (La La La)"
25,"Stevie B","Because I Love You (The Postman Song)"
26,"Coldplay","Clocks"
27,"Juan Gabriel","Hasta Que Te Conocí (En Vivo;Desde El Instituto Nacional De Bellas Artes)"
28,"Edwin Luna Y La Trakalosa De Monterrey","Broche De Oro"
29,"US-Global Deejays Feat. KeySee","Play (Valentine Khaynus Extended Mix)"
30,"Taylor Swift","Wonderland"
31,"Sasha","Let Me Be The One"
32,"George Harrison","Got My Mind Set On You"
33,"Nelly Furtado","Try"
34,"Texas","Summer Son"
35,"Snap!","The Power"
36,"Simply Red","Holding Back The Years"
37,"Queen","Another One Bites The Dust"
38,"Cher","Gypsies, Tramps And Thieves"
39,"Madonna","Open Your Heart"
40,"Fifth Harmony Feat. Kid Ink","Worth It"
41,"Fleetwood Mac","Dreams"
42,"The Verve","Bitter Sweet Symphony"
43,"John Lennon","Watching The Wheels"
44,"Frank Sinatra","I've Got You Under My Skin"
45,"Bon Jovi","I'll Be There For You"
46,"Aqua","Barbie Girl"
47,"Bee Gees","How Deep Is Your Love"
48,"Bon Jovi","It's My Life"
49,"Musical Youth","Pass The Dutchie (Original 7" Version)"
50,"Soundgarden","Black Hole Sun"
