Shazam Discovery Mexico
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"kostromin","Моя голова винтом"
2,"ElyOtto & Zedivan","Sugar Crash"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
5,"Celeste","Love Is Back"
6,"Nathan Evans","Wellerman (Sea Shanty)"
7,"Kiddtetoon & Diego Smith","Illuminati"
8,"DJ Guuga","Acompanha O Grave"
9,"Guaynaa & Pain Digital","Monterrey"
10,"Leyla Blue","What A Shame"
