Shazam Top 200 Mexico Chart
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"The Weeknd","Save Your Tears"
5,"Boney M.","Rasputin"
6,"Tiësto","The Business"
7,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
8,"kostromin","Моя голова винтом"
9,"ElyOtto & Zedivan","Sugar Crash"
10,"Myke Towers & Juhn","Bandido"
11,"Issam Alnajjar","Hadal Ahbek"
12,"SoulChef Feat. Nieve","Write This Down"
13,"Masked Wolf","Astronaut In The Ocean"
14,"Leat'eq","Tokyo"
15,"Gwen Stefani","Hollaback Girl"
16,"Kim Dracula","Paparazzi"
17,"The Weeknd","Blinding Lights"
18,"Pháo","2 Phút Hơn [KAIZ Remix]"
19,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
20,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
21,"Humbe","Sorpresa Sorpresa"
22,"Rauw Alejandro & Anuel AA","Reloj"
23,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
24,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
25,"Tanczaca Krowa","Dancing Polish Cow"
26,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
27,"Black Eyed Peas & Shakira","GIRL LIKE ME"
28,"Topic & A7S","Breaking Me"
29,"Banda MS de Sergio Lizárraga","La Casita"
30,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
31,"Alejandro Fernández & Christian Nodal","Duele"
32,"Kiddtetoon & Diego Smith","Illuminati"
33,"María José Feat. Carlos Rivera","Ya No Me Acuerdo Más de Ti [En Vivo]"
34,"Queen","Another One Bites The Dust"
35,"Really Slow Motion","Deadwood"
36,"Bring Me The Horizon","Can You Feel My Heart"
37,"SZA & Justin Timberlake","The Other Side"
38,"Rauw Alejandro","Algo Mágico"
39,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
40,"Dua Lipa","We're Good"
41,"Celeste","Love Is Back"
42,"Gotye Feat. Kimbra","Somebody That I Used To Know"
43,"Kaleo","Way Down We Go"
44,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
45,"Carin De leon","El Toxico"
46,"Carlos Rivera & Maluma","100 Años"
47,"Lenin Ramírez & Grupo Firme","Yo Ya No Vuelvo Contigo (En Vivo)"
48,"Twenty One Pilots","Stressed Out"
49,"Billie Eilish","Therefore I Am"
50,"Ava Max","My Head & My Heart"
51,"KAROL G","BICHOTA"
52,"Leyla Blue","What A Shame"
53,"DripReport","Skechers"
54,"KAROL G, Anuel AA & J. Balvin","LOCATION"
55,"Papu DJ","La Guerra"
56,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
57,"Paul Anka","Put Your Head On My Shoulder"
58,"La Santa Grifa","Por Mi Zona"
59,"Humbe","tú me hiciste volar"
60,"Daddy Yankee","PROBLEMA"
61,"Momokurotei Ichimon","Nippon Egao Hyakkei"
62,"The Neighbourhood","Sweater Weather"
63,"AronChupa & Little Sis Nora","Trombone"
64,"Sergio Valentino","Drive Forever"
65,"Bad Bunny & Jhay Cortez","Dakiti"
66,"Doja Cat","Streets"
67,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
68,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
69,"Marca MP","Te Apuesto (En Vivo)"
70,"Nathan Evans","Wellerman (Sea Shanty)"
71,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
72,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
73,"Childish Gambino","Redbone"
74,"Camilo","Ropa Cara"
75,"LA YOUNG","Como Estrellas"
76,"Hippie Sabotage","Devil Eyes"
77,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
78,"Daft Punk Feat. Pharrell Williams","Get Lucky"
79,"Daft Punk Feat. Julian Casablancas","Instant Crush"
80,"Hozier","Take Me To Church"
81,"Capital Cities","Safe And Sound"
82,"Sia","Snowman"
83,"DaBaby Feat. Roddy Ricch","ROCKSTAR"
84,"Stefflon Don","16 Shots"
85,"Magic!","Rude"
86,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
87,"Migos Feat. Young Thug","YRN"
88,"Justin Quiles, Natti Natasha & Farruko Feat. Zion, Dalex & Lenny Tavárez","DJ No Pare [Remix]"
89,"Harry Styles","Golden"
90,"Dj Wayn","Va Va Vroum Vroum"
91,"Pascal Letoublon","Friendships"
92,"CNCO","Tan Enamorados"
93,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
94,"Duncan Laurence","Arcade"
95,"Sam Smith","Diamonds"
96,"Mother Mother","Hay Loft"
97,"Grover Washington Jr.","Just The Two Of Us"
98,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
99,"SAINt JHN","Roses (Imanbek Remix)"
100,"El Alfa & Yandel & Myke Towers","Dembow Y Reggaeton"
101,"Capone","Streets Favorite"
102,"Bruno Mars","Locked Out Of Heaven"
103,"Sech","911"
104,"Aya Nakamura","Copines"
105,"Aleman Feat. Snoop Dogg","Mi Tío Snoop"
106,"Fleetwood Mac","Dreams"
107,"Iron & Wine","Flightless Bird, American Mouth (Twilight Soundtrack Version)"
108,"Tones And I","Dance Monkey"
109,"Leah Nobel","Beginning Middle End (From The Netflix Film "To All The Boys: Always and Forever")"
110,"Alok & Bruno Martini Feat. Zeeba","Hear Me Now"
111,"Danna Paola","Calla Tú"
112,"Michael Bublé","Feeling Good"
113,"Dirty Heads","Vacation"
114,"Jay Wheeler & DJ Nelson Feat. Myke Towers","La Curiosidad"
115,"Sebastián Yatra","Adiós"
116,"Joan Y Su Elite & Manuel Rodriguez","Me Gusta Mi Vida"
117,"Selena Gomez","Love You Like A Love Song (Midnight Sun Male Version)"
118,"Coldplay","Hymn For The Weekend"
119,"Hiboky","Exil"
120,"Myke Towers, Farruko & Arcangel Feat. Sech & Zion","Si Se Da (Remix)"
121,"Piso 21 & Maluma","Más De La Una"
122,"Post Malone","Only Wanna Be With You (Pokémon 25 Version)"
123,"Rihanna","Needed Me (Cosmic Dawn Club Mix)"
124,"Alice Deejay","Better Off Alone"
125,"Redbone","Come And Get Your Love"
126,"Karla Breu","Te Prometo"
127,"KD One","Hay Que Bueno"
128,"Lady Gaga","Poker Face"
129,"Los 2 de la S Feat. Banda MS de Sergio Lizárraga","Somos Los Que Somos [En Vivo]"
130,"Sheck Wes","Mo Bamba"
131,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
132,"Jason Derulo","Take You Dancing"
133,"Harry Styles","Sign Of The Times"
134,"Never Get Used To People","Life Letters"
135,"George Michael","Careless Whisper"
136,"La Bien Querida","Muero De Amor"
137,"Sub Urban","Cradles"
138,"Imagine Dragons","Believer"
139,"Fousheé","Deep End"
140,"Luis Fonsi & Rauw Alejandro","Vacío"
141,"Joss Favela & Jessi Uribe","El Alumno"
142,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
143,"David Guetta & Sia","Let's Love"
144,"Coolio Feat. L.V.","Gangsta's Paradise"
