Shazam Top 50 Acapulco de Juárez
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"The Weeknd","Save Your Tears"
3,"Olivia Rodrigo","drivers license"
4,"Boney M.","Rasputin"
5,"Desconocido","La Canción Más Misteriosa De Internet"
6,"kostromin","Моя голова винтом"
7,"Tiësto","The Business"
8,"Issam Alnajjar","Hadal Ahbek"
9,"ElyOtto & Zedivan","Sugar Crash"
10,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
11,"Myke Towers & Juhn","Bandido"
12,"Kim Dracula","Paparazzi"
13,"Pháo","2 Phút Hơn [KAIZ Remix]"
14,"SoulChef Feat. Nieve","Write This Down"
15,"Leat'eq","Tokyo"
16,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
17,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
18,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
19,"Black Eyed Peas & Shakira","GIRL LIKE ME"
20,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
21,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
22,"Tanczaca Krowa","Dancing Polish Cow"
23,"Really Slow Motion","Deadwood"
24,"Kiddtetoon & Diego Smith","Illuminati"
25,"Lenin Ramírez & Grupo Firme","Yo Ya No Vuelvo Contigo (En Vivo)"
26,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
27,"Gwen Stefani","Hollaback Girl"
28,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
29,"The Weeknd","Blinding Lights"
30,"Rauw Alejandro","Algo Mágico"
31,"Alejandro Fernández & Christian Nodal","Duele"
32,"Papu DJ","La Guerra"
33,"Banda MS de Sergio Lizárraga","La Casita"
34,"Twenty One Pilots","Stressed Out"
35,"KAROL G","BICHOTA"
36,"Bad Bunny & Jhay Cortez","Dakiti"
37,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
38,"Masked Wolf","Astronaut In The Ocean"
39,"Marca MP","Te Apuesto (En Vivo)"
40,"LA YOUNG","Como Estrellas"
41,"KAROL G, Anuel AA & J. Balvin","LOCATION"
42,"Rauw Alejandro & Anuel AA","Reloj"
43,"Humbe","Sorpresa Sorpresa"
44,"Hozier","Take Me To Church"
45,"Topic & A7S","Breaking Me"
46,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
47,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
48,"Stefflon Don","16 Shots"
49,"María José Feat. Carlos Rivera","Ya No Me Acuerdo Más de Ti [En Vivo]"
50,"Capital Cities","Safe And Sound"
