Shazam Top 50 Adolfo López Mateos
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Really Slow Motion","Deadwood"
3,"Desconocido","La Canción Más Misteriosa De Internet"
4,"Panchito Arredondo","La Sociedad del Poder"
5,"Matias Juarez & Trapzongo","Que Te Parece"
6,"The Go-Go's","We Got The Beat"
7,"One Direction","You & I"
8,"Migos Feat. Young Thug","YRN"
9,"Maná","Selva Negra"
10,"Hombres G","Devuelveme A Mi Chica"
11,"Los Enanitos Verdes","Lamento Boliviano"
12,"Los Ángeles Negros","Y Volveré (En Vivo Desde Lunario, México Df/2013)"
13,"Eclipse 6","Always Coca-Cola"
14,"Audioslave","Like A Stone"
15,"Jennifer Lopez Feat. Jadakiss & Styles P.","Jenny From The Block (Track Masters Remix)"
16,"Jess","Bailando Lento"
17,"Steve Aoki & Chris Lake & Tujamo Feat. Kid Ink","Delirious (Boneless)"
18,"David Guetta & Kaz James","Blast Off"
19,"Steve Jablonsky","Tessa"
20,"Deorro","Perdoname"
21,"Pepe Aguilar Feat. Ángela Aguilar & Melissa & Marisoul","Prometiste (Unplugged)"
22,"Jessie Andrews","The Feeling"
23,"South German Philharmonic Orchestra & Alexander von Pitamic","Serenade for Strings in C Major, Op. 48: I. Pezzo in forma di Sonatina"
24,"Fleetwood Mac","The Chain"
25,"Vengaboys","48 Hours"
26,"Wiz Khalifa Feat. Charlie Puth","See You Again"
27,"Bon Jovi","You Give Love A Bad Name"
28,"Doves","Firesuite"
29,"Bonnie Tyler","Holding Out For A Hero"
30,"Bomba Estéreo","Soy Yo"
31,"Roy Woods Feat. Drake","Drama"
32,"4 Non Blondes","What's Up?"
33,"The 1975","She's American"
34,"Koke Benavides","Quimera"
35,"Duncan Fox & Maria Correia & Carlos Alves & Cristiano Holtz","Fandango In D Minor"
36,"Kiss","I Was Made For Lovin' You"
37,"La Santa Grifa","Como Me Encula Esa Dama"
38,"Kool & The Gang","Celebration"
39,"Martin Garrix & Bebe Rexha","In The Name Of Love"
40,"Reinier Zonneveld Feat. Cari Golden","Things We Might Have Said"
41,"James Arthur","Say You Won't Let Go"
42,"Aliice","Bitter"
43,"Taku Matsushiba Feat. 沖仁","愛について~Eros~"
44,"BURNOUT SYNDROMES","Hikariare"
45,"The Animals","The House Of The Rising Sun"
46,"6LACK","Alone/Ea6"
47,"Billie Eilish","Bellyache"
48,"Cabizbajo","El Ritmo"
49,"Night Lovell","Concept Nothing"
50,"Darren Styles","Us Against The World"
