Shazam Top 50 Aguascalientes
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"The Weeknd","Save Your Tears"
5,"kostromin","Моя голова винтом"
6,"Boney M.","Rasputin"
7,"Tiësto","The Business"
8,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
9,"SoulChef Feat. Nieve","Write This Down"
10,"ElyOtto & Zedivan","Sugar Crash"
11,"Issam Alnajjar","Hadal Ahbek"
12,"Leat'eq","Tokyo"
13,"Masked Wolf","Astronaut In The Ocean"
14,"Humbe","Sorpresa Sorpresa"
15,"Myke Towers & Juhn","Bandido"
16,"Gwen Stefani","Hollaback Girl"
17,"SZA & Justin Timberlake","The Other Side"
18,"Kim Dracula","Paparazzi"
19,"Bring Me The Horizon","Can You Feel My Heart"
20,"Pháo","2 Phút Hơn [KAIZ Remix]"
21,"Grupo Diez 4tro","En El Refuego"
22,"Sergio Valentino","Drive Forever"
23,"Queen","Another One Bites The Dust"
24,"Humbe","tú me hiciste volar"
25,"Daddy Yankee","PROBLEMA"
26,"Rauw Alejandro & Anuel AA","Reloj"
27,"Carlos Rivera & Maluma","100 Años"
28,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
29,"Tanczaca Krowa","Dancing Polish Cow"
30,"DripReport","Skechers"
31,"Banda MS de Sergio Lizárraga","La Casita"
32,"The Kid LAROI","WITHOUT YOU"
33,"Dua Lipa","We're Good"
34,"Marca MP","Ya Acabo"
35,"Rauw Alejandro","Algo Mágico"
36,"Gotye Feat. Kimbra","Somebody That I Used To Know"
37,"Kiddtetoon & Diego Smith","Illuminati"
38,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
39,"Carin De leon","El Toxico"
40,"El Alfa & Yandel & Myke Towers","Dembow Y Reggaeton"
41,"Leyla Blue","What A Shame"
42,"Doja Cat","Streets"
43,"Momokurotei Ichimon","Nippon Egao Hyakkei"
44,"Migos Feat. Young Thug","YRN"
45,"Lenin Ramírez & Grupo Firme","Yo Ya No Vuelvo Contigo (En Vivo)"
46,"The Weeknd","Blinding Lights"
47,"Topic & A7S","Breaking Me"
48,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
49,"La Santa Grifa","Por Mi Zona"
50,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
