Shazam Top 50 Alfredo V. Bonfil
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"The Weeknd","Save Your Tears"
3,"Olivia Rodrigo","drivers license"
4,"Desconocido","La Canción Más Misteriosa De Internet"
5,"Myke Towers & Juhn","Bandido"
6,"Boney M.","Rasputin"
7,"Tiësto","The Business"
8,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
9,"kostromin","Моя голова винтом"
10,"Issam Alnajjar","Hadal Ahbek"
11,"Pháo","2 Phút Hơn [KAIZ Remix]"
12,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
13,"Black Eyed Peas & Shakira","GIRL LIKE ME"
14,"Bad Bunny & Jhay Cortez","Dakiti"
15,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
16,"ElyOtto & Zedivan","Sugar Crash"
17,"KAROL G, Anuel AA & J. Balvin","LOCATION"
18,"The Weeknd","Blinding Lights"
19,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
20,"Kim Dracula","Paparazzi"
21,"Lenin Ramírez & Grupo Firme","Yo Ya No Vuelvo Contigo (En Vivo)"
22,"ATB, Topic & A7S","Your Love (9PM)"
23,"KAROL G","BICHOTA"
24,"CNCO","Tan Enamorados"
25,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
26,"SoulChef Feat. Nieve","Write This Down"
27,"Rauw Alejandro & Anuel AA","Reloj"
28,"Boza","Hecha Pa' Mi"
29,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
30,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
31,"Masked Wolf","Astronaut In The Ocean"
32,"Carlos Rivera & Maluma","100 Años"
33,"SAINt JHN","Roses (Imanbek Remix)"
34,"Alejandro Fernández & Christian Nodal","Duele"
35,"Camilo","Ropa Cara"
36,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
37,"Leat'eq","Tokyo"
38,"Regard","Ride It"
39,"Master KG Feat. Nomcebo Zikode","Jerusalema"
40,"Tanczaca Krowa","Dancing Polish Cow"
41,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
42,"Doja Cat","Say So"
43,"Topic & A7S","Breaking Me"
44,"Paul Anka","Put Your Head On My Shoulder"
45,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
46,"Tones And I","Dance Monkey"
47,"Dj Wayn","Va Va Vroum Vroum"
48,"Dua Lipa","Don't Start Now"
49,"Banda MS de Sergio Lizárraga","La Casita"
50,"Gotye Feat. Kimbra","Somebody That I Used To Know"
