Shazam Top 50 Atlacomulco de Fabela
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Boney M.","Rasputin"
3,"Olivia Rodrigo","drivers license"
4,"Desconocido","La Canción Más Misteriosa De Internet"
5,"The Weeknd","Save Your Tears"
6,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
7,"SoulChef Feat. Nieve","Write This Down"
8,"ElyOtto & Zedivan","Sugar Crash"
9,"Issam Alnajjar","Hadal Ahbek"
10,"kostromin","Моя голова винтом"
11,"Kim Dracula","Paparazzi"
12,"Pháo","2 Phút Hơn [KAIZ Remix]"
13,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
14,"Humbe","Sorpresa Sorpresa"
15,"Myke Towers & Juhn","Bandido"
16,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
17,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
18,"Twenty One Pilots","Stressed Out"
19,"Leat'eq","Tokyo"
20,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
21,"Queen","Another One Bites The Dust"
22,"Hippie Sabotage","Devil Eyes"
23,"Gwen Stefani","Hollaback Girl"
24,"Really Slow Motion","Deadwood"
25,"Topic & A7S","Breaking Me"
26,"Cartel de Santa Feat. Aleman, Millonario & Adan Cruz","TUY"
27,"Childish Gambino","Redbone"
28,"Masked Wolf","Astronaut In The Ocean"
29,"Tiësto","The Business"
30,"Humbe","tú me hiciste volar"
31,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
32,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
33,"Celeste","Love Is Back"
34,"Daft Punk Feat. Pharrell Williams","Get Lucky"
35,"The Weeknd","Blinding Lights"
36,"DripReport","Skechers"
37,"EL Fresh Feat. Ledavile","EL Diablo"
38,"Bad Bunny","BOOKER T"
39,"Bring Me The Horizon","Can You Feel My Heart"
40,"Hozier","Take Me To Church"
41,"Dirty Heads","Vacation"
42,"El Alfa & Yandel & Myke Towers","Dembow Y Reggaeton"
43,"Myke Towers, Farruko & Arcangel Feat. Sech & Zion","Si Se Da (Remix)"
44,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
45,"Banda MS de Sergio Lizárraga","La Casita"
46,"Stefflon Don","16 Shots"
47,"Lenin Ramírez & Grupo Firme","Yo Ya No Vuelvo Contigo (En Vivo)"
48,"Rauw Alejandro","Algo Mágico"
49,"Sergio Valentino","Drive Forever"
50,"347aidan","Dancing in My Room"
