Shazam Top 50 Cancún
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Issam Alnajjar","Hadal Ahbek"
2,"Maluma","Hawái"
3,"Kali Uchis","telepatía"
4,"Tiësto","The Business"
5,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
6,"Nelly Feat. Kelly Rowland","Dilemma"
7,"Juan Gabriel","Abrázame Muy Fuerte (En Vivo Desde Bellas Artes, México/2013)"
8,"Hippie Sabotage","Devil Eyes"
9,"Cuco","Lo Que Siento"
10,"OVEOUS Feat. QVLN","Queimar (Original Mix)"
11,"Daddy Yankee Feat. Snow","Con Calma"
12,"Masked Wolf","Astronaut In The Ocean"
13,"SZA & Justin Timberlake","The Other Side"
14,"Bad Bunny","Si Veo a Tu Mamá"
15,"J. Balvin","Azul"
16,"AC/DC","Thunderstruck"
17,"Black Eyed Peas & Shakira","GIRL LIKE ME"
18,"CamelPhat & ARTBAT Feat. RHODES","For a Feeling (Layton Giordani Remix)"
19,"Christina Aguilera","Show Me How You Burlesque"
20,"Farruko","La Tóxica"
21,"Rauw Alejandro & Anuel AA","Reloj"
22,"Myke Towers & Juhn","Bandido"
23,"kostromin","Моя голова винтом"
24,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
25,"Ovi, Myke Towers & Aleman Feat. Ñengo Flow","Las Leyendas Nunca Mueren"
26,"Joe Arroyo","La Noche"
27,"Molotov","Gimme Tha Power"
28,"Selena Y Los Dinos","La Carcacha"
29,"Jarabe De Palo","La Flaca"
30,"Willie Colon","Talento De Televisión"
31,"Catherine Zeta-Jones & Renée Zellweger & Taye Diggs","Overture/And All That Jazz"
32,"Juan Gabriel","Querida (En Vivo Desde Bellas Artes, México/2013)"
33,"Maroon 5","Animals"
34,"BØRNS","Past Lives"
35,"Garth Brooks","Friends In Low Places"
36,"The Verve","Bitter Sweet Symphony"
37,"INXS","Never Tear Us Apart"
38,"Tears For Fears","Everybody Wants To Rule The World"
39,"Gloria Gaynor","I Will Survive"
40,"Lost Frequencies Feat. Janieck Devy","Reality"
41,"Total Giovanni","When We Break"
42,"Urban Love","Don't Dream It's Over"
43,"The Revivalists","Wish I Knew You"
44,"Kaleo","Way Down We Go"
45,"Canyon City","Fix You"
46,"Rednex","Cotton Eye Joe"
47,"Lou Bega","Mambo No.5 (A Little Bit Of...)"
48,"Chino & Nacho Feat. Daddy Yankee","Andas En Mi Cabeza"
49,"Kungs & Cookin' On 3 Burners","This Girl"
50,"Albion","Kompression"
