Shazam Top 50 Celaya
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"The Weeknd","Save Your Tears"
5,"Tiësto","The Business"
6,"Boney M.","Rasputin"
7,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
8,"ElyOtto & Zedivan","Sugar Crash"
9,"Kim Dracula","Paparazzi"
10,"Banda MS de Sergio Lizárraga","La Casita"
11,"Issam Alnajjar","Hadal Ahbek"
12,"kostromin","Моя голова винтом"
13,"Myke Towers & Juhn","Bandido"
14,"Masked Wolf","Astronaut In The Ocean"
15,"SoulChef Feat. Nieve","Write This Down"
16,"Gwen Stefani","Hollaback Girl"
17,"The Weeknd","Blinding Lights"
18,"Leat'eq","Tokyo"
19,"Really Slow Motion","Deadwood"
20,"Lenin Ramírez & Grupo Firme","Yo Ya No Vuelvo Contigo (En Vivo)"
21,"SZA & Justin Timberlake","The Other Side"
22,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
23,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
24,"Alejandro Fernández & Christian Nodal","Duele"
25,"Daft Punk Feat. Pharrell Williams","Get Lucky"
26,"Sergio Valentino","Drive Forever"
27,"Pháo","2 Phút Hơn [KAIZ Remix]"
28,"Humbe","Sorpresa Sorpresa"
29,"Kaleo","Way Down We Go"
30,"Dua Lipa","We're Good"
31,"Hippie Sabotage","Devil Eyes"
32,"Kiddtetoon & Diego Smith","Illuminati"
33,"Black Eyed Peas & Shakira","GIRL LIKE ME"
34,"Tanczaca Krowa","Dancing Polish Cow"
35,"KAROL G","BICHOTA"
36,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
37,"Momokurotei Ichimon","Nippon Egao Hyakkei"
38,"DripReport","Skechers"
39,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
40,"Justin Quiles, Natti Natasha & Farruko Feat. Zion, Dalex & Lenny Tavárez","DJ No Pare [Remix]"
41,"Rauw Alejandro","Algo Mágico"
42,"Bad Bunny & Jhay Cortez","Dakiti"
43,"The Neighbourhood","Sweater Weather"
44,"Myke Towers, Farruko & Arcangel Feat. Sech & Zion","Si Se Da (Remix)"
45,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
46,"Pascal Letoublon","Friendships"
47,"Gotye Feat. Kimbra","Somebody That I Used To Know"
48,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
49,"Paul Anka","Put Your Head On My Shoulder"
50,"Fleetwood Mac","Dreams"
