Shazam Top 50 Chihuahua
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
5,"The Weeknd","Save Your Tears"
6,"kostromin","Моя голова винтом"
7,"Boney M.","Rasputin"
8,"ElyOtto & Zedivan","Sugar Crash"
9,"Tiësto","The Business"
10,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
11,"Issam Alnajjar","Hadal Ahbek"
12,"Myke Towers & Juhn","Bandido"
13,"Kim Dracula","Paparazzi"
14,"SoulChef Feat. Nieve","Write This Down"
15,"Marca MP","Ya Acabo"
16,"Leat'eq","Tokyo"
17,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
18,"Banda MS de Sergio Lizárraga","La Casita"
19,"Masked Wolf","Astronaut In The Ocean"
20,"Bring Me The Horizon","Can You Feel My Heart"
21,"Gotye Feat. Kimbra","Somebody That I Used To Know"
22,"Gwen Stefani","Hollaback Girl"
23,"Pháo","2 Phút Hơn [KAIZ Remix]"
24,"Humbe","Sorpresa Sorpresa"
25,"Leyla Blue","What A Shame"
26,"SZA & Justin Timberlake","The Other Side"
27,"Carin De leon","El Toxico"
28,"Alejandro Fernández & Christian Nodal","Duele"
29,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
30,"Migos Feat. Young Thug","YRN"
31,"María José Feat. Carlos Rivera","Ya No Me Acuerdo Más de Ti [En Vivo]"
32,"Sigala & James Arthur","Lasting Lover"
33,"Billie Eilish","Therefore I Am"
34,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
35,"Dua Lipa","We're Good"
36,"Justin Quiles, Natti Natasha & Farruko Feat. Zion, Dalex & Lenny Tavárez","DJ No Pare [Remix]"
37,"La Santa Grifa","Por Mi Zona"
38,"Black Eyed Peas & Shakira","GIRL LIKE ME"
39,"Tanczaca Krowa","Dancing Polish Cow"
40,"Sergio Valentino","Drive Forever"
41,"AronChupa & Little Sis Nora","Trombone"
42,"The Kid LAROI","WITHOUT YOU"
43,"KAROL G, Anuel AA & J. Balvin","LOCATION"
44,"Momokurotei Ichimon","Nippon Egao Hyakkei"
45,"Queen","Another One Bites The Dust"
46,"Rauw Alejandro & Anuel AA","Reloj"
47,"Grupo Diez 4tro","En El Refuego"
48,"Childish Gambino","Redbone"
49,"Really Slow Motion","Deadwood"
50,"Kaleo","Way Down We Go"
