Shazam Top 50 Ciudad Apodaca
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"kostromin","Моя голова винтом"
5,"ElyOtto & Zedivan","Sugar Crash"
6,"Boney M.","Rasputin"
7,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
8,"The Weeknd","Save Your Tears"
9,"Issam Alnajjar","Hadal Ahbek"
10,"Myke Towers & Juhn","Bandido"
11,"Gwen Stefani","Hollaback Girl"
12,"Masked Wolf","Astronaut In The Ocean"
13,"SZA & Justin Timberlake","The Other Side"
14,"Tanczaca Krowa","Dancing Polish Cow"
15,"Leat'eq","Tokyo"
16,"Kim Dracula","Paparazzi"
17,"Bring Me The Horizon","Can You Feel My Heart"
18,"SoulChef Feat. Nieve","Write This Down"
19,"Tiësto","The Business"
20,"Queen","Another One Bites The Dust"
21,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
22,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
23,"La Santa Grifa","Por Mi Zona"
24,"Rauw Alejandro & Anuel AA","Reloj"
25,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
26,"Kaleo","Way Down We Go"
27,"Doja Cat","Streets"
28,"Humbe","Sorpresa Sorpresa"
29,"Kiddtetoon & Diego Smith","Illuminati"
30,"Gotye Feat. Kimbra","Somebody That I Used To Know"
31,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
32,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
33,"Papu DJ","La Guerra"
34,"Leyla Blue","What A Shame"
35,"DripReport","Skechers"
36,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
37,"KAROL G","BICHOTA"
38,"AronChupa & Little Sis Nora","Trombone"
39,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
40,"Really Slow Motion","Deadwood"
41,"Aya Nakamura","Copines"
42,"DaBaby Feat. Roddy Ricch","ROCKSTAR"
43,"Nathan Evans","Wellerman (Sea Shanty)"
44,"Migos Feat. Young Thug","YRN"
45,"Carin De leon","El Toxico"
46,"Paul Anka","Put Your Head On My Shoulder"
47,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
48,"Secretto","Tan Bella Y Presumida"
49,"Sergio Valentino","Drive Forever"
50,"Pháo","2 Phút Hơn [KAIZ Remix]"
