Shazam Top 50 Ciudad Madero
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"Boney M.","Rasputin"
5,"ElyOtto & Zedivan","Sugar Crash"
6,"kostromin","Моя голова винтом"
7,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
8,"Leat'eq","Tokyo"
9,"The Weeknd","Save Your Tears"
10,"SoulChef Feat. Nieve","Write This Down"
11,"Gwen Stefani","Hollaback Girl"
12,"Queen","Another One Bites The Dust"
13,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
14,"Masked Wolf","Astronaut In The Ocean"
15,"Leyla Blue","What A Shame"
16,"Tanczaca Krowa","Dancing Polish Cow"
17,"Rauw Alejandro & Anuel AA","Reloj"
18,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
19,"Kim Dracula","Paparazzi"
20,"Bring Me The Horizon","Can You Feel My Heart"
21,"SZA & Justin Timberlake","The Other Side"
22,"Alejandro Fernández & Christian Nodal","Duele"
23,"SHAED","Trampoline (Jauz Remix)"
24,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
25,"Issam Alnajjar","Hadal Ahbek"
26,"Myke Towers & Juhn","Bandido"
27,"Alice Deejay","Better Off Alone"
28,"Childish Gambino","Redbone"
29,"Secretto","Tan Bella Y Presumida"
30,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
31,"Migos Feat. Young Thug","YRN"
32,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
33,"KD One","Hay Que Bueno"
34,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
35,"DripReport","Skechers"
36,"Rauw Alejandro","Algo Mágico"
37,"Joy","Este Fuego (De La Telenovela "Fuego Ardiente")"
38,"Sheck Wes","Mo Bamba"
39,"Doja Cat","Streets"
40,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
41,"KAROL G, Anuel AA & J. Balvin","LOCATION"
42,"Humbe","tú me hiciste volar"
43,"La Santa Grifa","Por Mi Zona"
44,"Mother Mother","Hay Loft"
45,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
46,"Sergio Valentino","Drive Forever"
47,"Pháo","2 Phút Hơn [KAIZ Remix]"
48,"Nathan Evans","Wellerman (Sea Shanty)"
49,"Paul Anka","Put Your Head On My Shoulder"
50,"Kaleo","Way Down We Go"
