Shazam Top 50 Cuauhtémoc
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"AronChupa","I'm An Albatraoz"
2,"Michael Jackson","Slave To The Rhythm"
3,"WWE & Jim Johnston","My Time (Triple H)"
4,"Fleetwood Mac","The Chain"
5,"Tame Impala","The Less I Know The Better"
6,"The Pharcyde","4 Better Or 4 Worse"
7,"Journey","Separate Ways (Worlds Apart)"
8,"Cheap Trick","Surrender"
9,"Selena","Bidi Bidi Bom Bom"
10,"Daryl Hall & John Oates","You Make My Dreams"
11,"Chuck Berry","You Never Can Tell"
12,"Rihanna","Needed Me (Cosmic Dawn Club Mix)"
13,"El Traidor Y Los Pibes","Cumbia Y Marihuana"
14,"HotSpanish Feat. BenElGringo","Infiel"
15,"Enrique Iglesias Feat. Bad Bunny","El Baño"
16,"Gorillaz","Feel Good Inc"
17,"Cascada","Everytime We Touch"
18,"Godsmack","When Legends Rise"
19,"Enrique Iglesias Feat. Bad Bunny & Natti Natasha","EL BAÑO REMIX"
20,"Otis McDonald","Minneapolis"
21,"Andra Day","I Wish I Knew How It Would Feel To Be Free (From Tyler Perry's "Acrimony")"
22,"Rammstein","Te Quiero Puta!"
23,"Hombres G & Los Enanitos Verdes","Tu Cárcel (En Vivo)"
24,"BROCKBEATS","Bubble Gum"
25,"Jack O'Reilly","The Synth Wars"
26,"Three Days Grace","Animal I Have Become"
27,"Grupo Bryndis","La Chica Del Este"
28,"Fidel Rueda","Paz En Este Amor"
29,"Ashe","Moral Of The Story"
30,"Peter Schilling","Major Tom (Coming Home)"
31,"SAINt JHN","Roses (Imanbek Remix)"
32,"P-Lo","Going Big"
33,"Kertscher","Tokyo By Night"
34,"MONSTA X & Sebastián Yatra","Magnetic"
35,"YOASOBI","夜に駆ける"
36,"John Legend & David Guetta","Conversations in the Dark (John Legend vs. David Guetta)"
37,"Major Lazer, MC Lan & Anitta Feat. BEAM","Rave de Favela"
38,"Eslabon Armado","Con Tus Besos"
39,"Mark B.","Tamo Loco To"
40,"La Santa Grifa","Por Mi Zona"
41,"Yandel & Bad Bunny","CANCIÓN CON YANDEL"
42,"Mike Posner","Cooler Than Me"
43,"Drowning Pool","Tear Away"
44,"Natti Natasha","Que Mal Te Fue"
45,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
46,"Shakira Feat. El Cata","Rabiosa"
47,"Memphis Depay","2 Corinthians 5:7"
48,"samibacon","GYPSY WOMAN"
49,"Porte Diferente","Te Quiero Enamorar"
50,"Manuel Turizo, Rauw Alejandro & Myke Towers","La Nota"
