Shazam Top 50 Culiacán
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Olivia Rodrigo","drivers license"
3,"The Weeknd","Save Your Tears"
4,"Desconocido","La Canción Más Misteriosa De Internet"
5,"Tiësto","The Business"
6,"Boney M.","Rasputin"
7,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
8,"Myke Towers & Juhn","Bandido"
9,"Kidd Keo Feat. Yay","Ma Vie"
10,"kostromin","Моя голова винтом"
11,"ElyOtto & Zedivan","Sugar Crash"
12,"SZA & Justin Timberlake","The Other Side"
13,"Issam Alnajjar","Hadal Ahbek"
14,"Pháo","2 Phút Hơn [KAIZ Remix]"
15,"SoulChef Feat. Nieve","Write This Down"
16,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
17,"KAROL G, Anuel AA & J. Balvin","LOCATION"
18,"Bring Me The Horizon","Can You Feel My Heart"
19,"Dua Lipa","We're Good"
20,"Gwen Stefani","Hollaback Girl"
21,"Black Eyed Peas & Shakira","GIRL LIKE ME"
22,"Migos Feat. Young Thug","YRN"
23,"Masked Wolf","Astronaut In The Ocean"
24,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
25,"Humbe","Sorpresa Sorpresa"
26,"Banda MS de Sergio Lizárraga","La Casita"
27,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
28,"Gotye Feat. Kimbra","Somebody That I Used To Know"
29,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
30,"Billie Eilish","Therefore I Am"
31,"Leat'eq","Tokyo"
32,"Childish Gambino","Redbone"
33,"Harry Styles","Golden"
34,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
35,"KAROL G","BICHOTA"
36,"María José Feat. Carlos Rivera","Ya No Me Acuerdo Más de Ti [En Vivo]"
37,"KD One","Hay Que Bueno"
38,"Carlos Rivera & Maluma","100 Años"
39,"Aleman Feat. Snoop Dogg","Mi Tío Snoop"
40,"Kim Dracula","Paparazzi"
41,"Queen","Another One Bites The Dust"
42,"Tanczaca Krowa","Dancing Polish Cow"
43,"El Alfa & Yandel & Myke Towers","Dembow Y Reggaeton"
44,"Doja Cat","Streets"
45,"Rauw Alejandro & Anuel AA","Reloj"
46,"JR Torres Feat. Edicion Especial","El Nini"
47,"Dj Wayn","Va Va Vroum Vroum"
48,"Hippie Sabotage","Devil Eyes"
49,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
50,"Camilo","Ropa Cara"
