Shazam Top 50 Córdoba
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"kostromin","Моя голова винтом"
5,"The Weeknd","Save Your Tears"
6,"Boney M.","Rasputin"
7,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
8,"ElyOtto & Zedivan","Sugar Crash"
9,"Issam Alnajjar","Hadal Ahbek"
10,"Kim Dracula","Paparazzi"
11,"Myke Towers & Juhn","Bandido"
12,"Tiësto","The Business"
13,"SoulChef Feat. Nieve","Write This Down"
14,"Leat'eq","Tokyo"
15,"Pháo","2 Phút Hơn [KAIZ Remix]"
16,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
17,"Queen","Another One Bites The Dust"
18,"Bring Me The Horizon","Can You Feel My Heart"
19,"Kiddtetoon & Diego Smith","Illuminati"
20,"Gwen Stefani","Hollaback Girl"
21,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
22,"Twenty One Pilots","Stressed Out"
23,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
24,"Leyla Blue","What A Shame"
25,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
26,"Rauw Alejandro & Anuel AA","Reloj"
27,"Dj Wayn","Va Va Vroum Vroum"
28,"The Weeknd","Blinding Lights"
29,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
30,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
31,"Kaleo","Way Down We Go"
32,"Sia","Snowman"
33,"Really Slow Motion","Deadwood"
34,"Masked Wolf","Astronaut In The Ocean"
35,"LA YOUNG","Como Estrellas"
36,"Humbe","Sorpresa Sorpresa"
37,"Magic!","Rude"
38,"Black Eyed Peas & Shakira","GIRL LIKE ME"
39,"Hozier","Take Me To Church"
40,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
41,"Hippie Sabotage","Devil Eyes"
42,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
43,"Hiboky","Exil"
44,"Momokurotei Ichimon","Nippon Egao Hyakkei"
45,"Sheck Wes","Mo Bamba"
46,"DaBaby Feat. Roddy Ricch","ROCKSTAR"
47,"Banda MS de Sergio Lizárraga","La Casita"
48,"Sergio Valentino","Drive Forever"
49,"Maroon 5","Animals"
50,"María José Feat. Carlos Rivera","Ya No Me Acuerdo Más de Ti [En Vivo]"
