Shazam Top 50 Ecatepec de Morelos
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"Boney M.","Rasputin"
5,"The Weeknd","Save Your Tears"
6,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
7,"ElyOtto & Zedivan","Sugar Crash"
8,"Issam Alnajjar","Hadal Ahbek"
9,"kostromin","Моя голова винтом"
10,"SoulChef Feat. Nieve","Write This Down"
11,"Tiësto","The Business"
12,"Leat'eq","Tokyo"
13,"Kiddtetoon & Diego Smith","Illuminati"
14,"Rauw Alejandro & Anuel AA","Reloj"
15,"Masked Wolf","Astronaut In The Ocean"
16,"AronChupa & Little Sis Nora","Trombone"
17,"Humbe","Sorpresa Sorpresa"
18,"Tanczaca Krowa","Dancing Polish Cow"
19,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
20,"Kaleo","Way Down We Go"
21,"Rauw Alejandro","Algo Mágico"
22,"Queen","Another One Bites The Dust"
23,"Gwen Stefani","Hollaback Girl"
24,"Myke Towers & Juhn","Bandido"
25,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
26,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
27,"Kim Dracula","Paparazzi"
28,"Pháo","2 Phút Hơn [KAIZ Remix]"
29,"Twenty One Pilots","Stressed Out"
30,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
31,"The Weeknd","Blinding Lights"
32,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
33,"Celeste","Love Is Back"
34,"Bring Me The Horizon","Can You Feel My Heart"
35,"Topic & A7S","Breaking Me"
36,"Magic!","Rude"
37,"Pascal Letoublon","Friendships"
38,"Papu DJ","La Guerra"
39,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
40,"DripReport","Skechers"
41,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
42,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
43,"Nathan Evans","Wellerman (Sea Shanty)"
44,"Daft Punk Feat. Julian Casablancas","Instant Crush"
45,"Sia","Snowman"
46,"Really Slow Motion","Deadwood"
47,"Myke Towers, Farruko & Arcangel Feat. Sech & Zion","Si Se Da (Remix)"
48,"La Santa Grifa","Por Mi Zona"
49,"Mother Mother","Hay Loft"
50,"Leah Nobel","Beginning Middle End (From The Netflix Film "To All The Boys: Always and Forever")"
