Shazam Top 50 Guadalajara
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Olivia Rodrigo","drivers license"
3,"Desconocido","La Canción Más Misteriosa De Internet"
4,"The Weeknd","Save Your Tears"
5,"Tiësto","The Business"
6,"Boney M.","Rasputin"
7,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
8,"Myke Towers & Juhn","Bandido"
9,"kostromin","Моя голова винтом"
10,"ElyOtto & Zedivan","Sugar Crash"
11,"Issam Alnajjar","Hadal Ahbek"
12,"SoulChef Feat. Nieve","Write This Down"
13,"Masked Wolf","Astronaut In The Ocean"
14,"Alejandro Fernández & Christian Nodal","Duele"
15,"Topic & A7S","Breaking Me"
16,"Black Eyed Peas & Shakira","GIRL LIKE ME"
17,"Dua Lipa","We're Good"
18,"Banda MS de Sergio Lizárraga","La Casita"
19,"Pháo","2 Phút Hơn [KAIZ Remix]"
20,"Ava Max","My Head & My Heart"
21,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
22,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
23,"Gwen Stefani","Hollaback Girl"
24,"SZA & Justin Timberlake","The Other Side"
25,"Carlos Rivera & Maluma","100 Años"
26,"Humbe","Sorpresa Sorpresa"
27,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
28,"Kim Dracula","Paparazzi"
29,"KAROL G, Anuel AA & J. Balvin","LOCATION"
30,"The Weeknd","Blinding Lights"
31,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
32,"Rauw Alejandro & Anuel AA","Reloj"
33,"Billie Eilish","Therefore I Am"
34,"Leat'eq","Tokyo"
35,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
36,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
37,"Rauw Alejandro","Algo Mágico"
38,"Carin De leon","El Toxico"
39,"CNCO","Tan Enamorados"
40,"Joss Favela & Jessi Uribe","El Alumno"
41,"María José Feat. Carlos Rivera","Ya No Me Acuerdo Más de Ti [En Vivo]"
42,"Queen","Another One Bites The Dust"
43,"Tanczaca Krowa","Dancing Polish Cow"
44,"Gotye Feat. Kimbra","Somebody That I Used To Know"
45,"The Neighbourhood","Sweater Weather"
46,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
47,"Kaleo","Way Down We Go"
48,"Harry Styles","Golden"
49,"Marca MP","Te Apuesto (En Vivo)"
50,"Daft Punk Feat. Pharrell Williams","Get Lucky"
