Shazam Top 50 Guadalupe
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"The Weeknd","Save Your Tears"
5,"Myke Towers & Juhn","Bandido"
6,"kostromin","Моя голова винтом"
7,"ElyOtto & Zedivan","Sugar Crash"
8,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
9,"Boney M.","Rasputin"
10,"Tiësto","The Business"
11,"Issam Alnajjar","Hadal Ahbek"
12,"Masked Wolf","Astronaut In The Ocean"
13,"Kim Dracula","Paparazzi"
14,"Gwen Stefani","Hollaback Girl"
15,"Leat'eq","Tokyo"
16,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
17,"SoulChef Feat. Nieve","Write This Down"
18,"Really Slow Motion","Deadwood"
19,"Queen","Another One Bites The Dust"
20,"SZA & Justin Timberlake","The Other Side"
21,"Alejandro Fernández & Christian Nodal","Duele"
22,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
23,"Rauw Alejandro","Algo Mágico"
24,"Rauw Alejandro & Anuel AA","Reloj"
25,"AronChupa & Little Sis Nora","Trombone"
26,"Migos Feat. Young Thug","YRN"
27,"Tanczaca Krowa","Dancing Polish Cow"
28,"Carin De leon","El Toxico"
29,"Luis Fonsi & Rauw Alejandro","Vacío"
30,"Bring Me The Horizon","Can You Feel My Heart"
31,"Humbe","Sorpresa Sorpresa"
32,"Doja Cat","Streets"
33,"Pháo","2 Phút Hơn [KAIZ Remix]"
34,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
35,"Kiddtetoon & Diego Smith","Illuminati"
36,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
37,"The Weeknd","Blinding Lights"
38,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
39,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
40,"Gotye Feat. Kimbra","Somebody That I Used To Know"
41,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
42,"Aya Nakamura","Copines"
43,"María José Feat. Carlos Rivera","Ya No Me Acuerdo Más de Ti [En Vivo]"
44,"Topic & A7S","Breaking Me"
45,"La Santa Grifa","Por Mi Zona"
46,"KAROL G","BICHOTA"
47,"Piso 21 & Maluma","Más De La Una"
48,"Guaynaa & Pain Digital","Monterrey"
49,"KAROL G, Anuel AA & J. Balvin","LOCATION"
50,"Momokurotei Ichimon","Nippon Egao Hyakkei"
