Shazam Top 50 Hermosillo
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"The Weeknd","Save Your Tears"
5,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
6,"Tiësto","The Business"
7,"ElyOtto & Zedivan","Sugar Crash"
8,"Myke Towers & Juhn","Bandido"
9,"Boney M.","Rasputin"
10,"kostromin","Моя голова винтом"
11,"SZA & Justin Timberlake","The Other Side"
12,"Dua Lipa","We're Good"
13,"SoulChef Feat. Nieve","Write This Down"
14,"Issam Alnajjar","Hadal Ahbek"
15,"Pháo","2 Phút Hơn [KAIZ Remix]"
16,"Black Eyed Peas & Shakira","GIRL LIKE ME"
17,"KAROL G, Anuel AA & J. Balvin","LOCATION"
18,"Carlos Rivera & Maluma","100 Años"
19,"Harry Styles","Golden"
20,"Mon Laferte","Se Me Va A Quemar El Corazón"
21,"Doja Cat","Streets"
22,"KAROL G","BICHOTA"
23,"Gotye Feat. Kimbra","Somebody That I Used To Know"
24,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
25,"Gwen Stefani","Hollaback Girl"
26,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
27,"Bring Me The Horizon","Can You Feel My Heart"
28,"María José Feat. Carlos Rivera","Ya No Me Acuerdo Más de Ti [En Vivo]"
29,"Migos Feat. Young Thug","YRN"
30,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
31,"DaBaby Feat. Roddy Ricch","ROCKSTAR"
32,"Daddy Yankee","PROBLEMA"
33,"Humbe","Sorpresa Sorpresa"
34,"The Weeknd","Blinding Lights"
35,"Masked Wolf","Astronaut In The Ocean"
36,"Rauw Alejandro","Algo Mágico"
37,"Karla Breu","Te Prometo"
38,"Leat'eq","Tokyo"
39,"Duncan Laurence","Arcade"
40,"Tanczaca Krowa","Dancing Polish Cow"
41,"DripReport","Skechers"
42,"Billie Eilish","Therefore I Am"
43,"Kim Dracula","Paparazzi"
44,"Alejandro Fernández & Christian Nodal","Duele"
45,"Really Slow Motion","Deadwood"
46,"Ava Max","Kings & Queens"
47,"Carin Leon","Tú"
48,"Jason Derulo","Take You Dancing"
49,"Banda MS de Sergio Lizárraga","La Casita"
50,"Ava Max","My Head & My Heart"
