Shazam Top 50 Irapuato
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Boney M.","Rasputin"
4,"Olivia Rodrigo","drivers license"
5,"The Weeknd","Save Your Tears"
6,"kostromin","Моя голова винтом"
7,"ElyOtto & Zedivan","Sugar Crash"
8,"Tiësto","The Business"
9,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
10,"Issam Alnajjar","Hadal Ahbek"
11,"Gwen Stefani","Hollaback Girl"
12,"Leat'eq","Tokyo"
13,"Pháo","2 Phút Hơn [KAIZ Remix]"
14,"SoulChef Feat. Nieve","Write This Down"
15,"Banda MS de Sergio Lizárraga","La Casita"
16,"Kim Dracula","Paparazzi"
17,"Myke Towers & Juhn","Bandido"
18,"Masked Wolf","Astronaut In The Ocean"
19,"Really Slow Motion","Deadwood"
20,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
21,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
22,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
23,"Hiboky","Exil"
24,"Queen","Another One Bites The Dust"
25,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
26,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
27,"Humbe","Sorpresa Sorpresa"
28,"Twenty One Pilots","Stressed Out"
29,"The Weeknd","Blinding Lights"
30,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
31,"SZA & Justin Timberlake","The Other Side"
32,"Papu DJ","La Guerra"
33,"DripReport","Skechers"
34,"Bring Me The Horizon","Can You Feel My Heart"
35,"Aya Nakamura","Copines"
36,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
37,"Leyla Blue","What A Shame"
38,"Marca MP","Ya Acabo"
39,"The Neighbourhood","Sweater Weather"
40,"Topic & A7S","Breaking Me"
41,"Kiddtetoon & Diego Smith","Illuminati"
42,"Tanczaca Krowa","Dancing Polish Cow"
43,"Powfu","death bed (feat. beabadoobee) [coffee for your head]"
44,"Capital Cities","Safe And Sound"
45,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
46,"Grupo Diez 4tro","En El Refuego"
47,"Kaleo","Way Down We Go"
48,"Migos Feat. Young Thug","YRN"
49,"Indila","Dernière Danse"
50,"LA YOUNG","Como Estrellas"
