Shazam Top 50 Juárez
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"kostromin","Моя голова винтом"
5,"Boney M.","Rasputin"
6,"The Weeknd","Save Your Tears"
7,"ElyOtto & Zedivan","Sugar Crash"
8,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
9,"Myke Towers & Juhn","Bandido"
10,"Issam Alnajjar","Hadal Ahbek"
11,"SoulChef Feat. Nieve","Write This Down"
12,"Gwen Stefani","Hollaback Girl"
13,"Leat'eq","Tokyo"
14,"Masked Wolf","Astronaut In The Ocean"
15,"Tiësto","The Business"
16,"Kim Dracula","Paparazzi"
17,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
18,"Queen","Another One Bites The Dust"
19,"Black Eyed Peas & Shakira","GIRL LIKE ME"
20,"Carin De leon","El Toxico"
21,"Bring Me The Horizon","Can You Feel My Heart"
22,"Banda MS de Sergio Lizárraga","La Casita"
23,"SZA & Justin Timberlake","The Other Side"
24,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
25,"The Weeknd","Blinding Lights"
26,"Alejandro Fernández & Christian Nodal","Duele"
27,"Kiddtetoon & Diego Smith","Illuminati"
28,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
29,"Bad Bunny & Jhay Cortez","Dakiti"
30,"Billie Eilish","Therefore I Am"
31,"Grupo Diez 4tro","En El Refuego"
32,"Tanczaca Krowa","Dancing Polish Cow"
33,"La Santa Grifa","Por Mi Zona"
34,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
35,"Rauw Alejandro & Anuel AA","Reloj"
36,"Humbe","Sorpresa Sorpresa"
37,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
38,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
39,"Momokurotei Ichimon","Nippon Egao Hyakkei"
40,"DripReport","Skechers"
41,"KAROL G, Anuel AA & J. Balvin","LOCATION"
42,"Childish Gambino","Redbone"
43,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
44,"Doja Cat","Streets"
45,"Pháo","2 Phút Hơn [KAIZ Remix]"
46,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
47,"María José Feat. Carlos Rivera","Ya No Me Acuerdo Más de Ti [En Vivo]"
48,"Gotye Feat. Kimbra","Somebody That I Used To Know"
49,"AJR","Bang!"
50,"Really Slow Motion","Deadwood"
