Shazam Top 50 León de los Aldama
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"The Weeknd","Save Your Tears"
5,"Tiësto","The Business"
6,"Boney M.","Rasputin"
7,"kostromin","Моя голова винтом"
8,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
9,"ElyOtto & Zedivan","Sugar Crash"
10,"Issam Alnajjar","Hadal Ahbek"
11,"SoulChef Feat. Nieve","Write This Down"
12,"Myke Towers & Juhn","Bandido"
13,"Gwen Stefani","Hollaback Girl"
14,"Leat'eq","Tokyo"
15,"Black Eyed Peas & Shakira","GIRL LIKE ME"
16,"Banda MS de Sergio Lizárraga","La Casita"
17,"Topic & A7S","Breaking Me"
18,"Rauw Alejandro","Algo Mágico"
19,"Pháo","2 Phút Hơn [KAIZ Remix]"
20,"Masked Wolf","Astronaut In The Ocean"
21,"Kim Dracula","Paparazzi"
22,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
23,"Alejandro Fernández & Christian Nodal","Duele"
24,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
25,"The Weeknd","Blinding Lights"
26,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
27,"Leyla Blue","What A Shame"
28,"SZA & Justin Timberlake","The Other Side"
29,"Ava Max","My Head & My Heart"
30,"Dua Lipa","We're Good"
31,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
32,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
33,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
34,"Sergio Valentino","Drive Forever"
35,"Billie Eilish","Therefore I Am"
36,"Humbe","Sorpresa Sorpresa"
37,"DripReport","Skechers"
38,"Rauw Alejandro & Anuel AA","Reloj"
39,"Bring Me The Horizon","Can You Feel My Heart"
40,"Doja Cat","Streets"
41,"Carlos Rivera & Maluma","100 Años"
42,"Queen","Another One Bites The Dust"
43,"Kiddtetoon & Diego Smith","Illuminati"
44,"Tanczaca Krowa","Dancing Polish Cow"
45,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
46,"Stefflon Don","16 Shots"
47,"Justin Quiles, Natti Natasha & Farruko Feat. Zion, Dalex & Lenny Tavárez","DJ No Pare [Remix]"
48,"Hippie Sabotage","Devil Eyes"
49,"María José Feat. Carlos Rivera","Ya No Me Acuerdo Más de Ti [En Vivo]"
50,"Gotye Feat. Kimbra","Somebody That I Used To Know"
