Shazam Top 50 Los Mochis
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Olivia Rodrigo","drivers license"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"Desconocido","La Canción Más Misteriosa De Internet"
5,"ElyOtto & Zedivan","Sugar Crash"
6,"kostromin","Моя голова винтом"
7,"SoulChef Feat. Nieve","Write This Down"
8,"Boney M.","Rasputin"
9,"The Weeknd","Save Your Tears"
10,"Leat'eq","Tokyo"
11,"Masked Wolf","Astronaut In The Ocean"
12,"Tiësto","The Business"
13,"Myke Towers & Juhn","Bandido"
14,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
15,"Aya Nakamura","Copines"
16,"SZA & Justin Timberlake","The Other Side"
17,"Rauw Alejandro & Anuel AA","Reloj"
18,"Migos Feat. Young Thug","YRN"
19,"Mother Mother","Hay Loft"
20,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
21,"Rauw Alejandro","Algo Mágico"
22,"Humbe","tú me hiciste volar"
23,"Gwen Stefani","Hollaback Girl"
24,"Gotye Feat. Kimbra","Somebody That I Used To Know"
25,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
26,"Rihanna","Needed Me (Cosmic Dawn Club Mix)"
27,"Los Farandulay","El Peludo"
28,"Doja Cat","Streets"
29,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
30,"Tanczaca Krowa","Dancing Polish Cow"
31,"Dua Lipa","We're Good"
32,"KAROL G, Anuel AA & J. Balvin","LOCATION"
33,"Humbe","Sorpresa Sorpresa"
34,"Kardinal Offishall Feat. Akon","Dangerous"
35,"Myke Towers, Farruko & Arcangel Feat. Sech & Zion","Si Se Da (Remix)"
36,"Joan Y Su Elite & Manuel Rodriguez","Me Gusta Mi Vida"
37,"Banda MS de Sergio Lizárraga","La Casita"
38,"Issam Alnajjar","Hadal Ahbek"
39,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
40,"Bring Me The Horizon","Can You Feel My Heart"
41,"Cupid","Cupid Shuffle"
42,"KD One","Hay Que Bueno"
43,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
44,"Kiddtetoon & Diego Smith","Illuminati"
45,"Lyanno, Rauw Alejandro & Lenny Tavarez Feat. Maria Becerra","En Tu Cuerpo (Remix)"
46,"Pháo","2 Phút Hơn [KAIZ Remix]"
47,"Kim Dracula","Paparazzi"
48,"Sech","911"
49,"Dj Wayn","Va Va Vroum Vroum"
50,"Nathan Evans","Wellerman (Sea Shanty)"
