Shazam Top 50 Mexicali
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"Myke Towers & Juhn","Bandido"
5,"The Weeknd","Save Your Tears"
6,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
7,"Boney M.","Rasputin"
8,"kostromin","Моя голова винтом"
9,"ElyOtto & Zedivan","Sugar Crash"
10,"SoulChef Feat. Nieve","Write This Down"
11,"SZA & Justin Timberlake","The Other Side"
12,"Leat'eq","Tokyo"
13,"Tiësto","The Business"
14,"Issam Alnajjar","Hadal Ahbek"
15,"Gwen Stefani","Hollaback Girl"
16,"Billie Eilish","Therefore I Am"
17,"AJR","Bang!"
18,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
19,"Megan Thee Stallion","Body"
20,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
21,"Chris Brown & Young Thug","Go Crazy"
22,"Ava Max","My Head & My Heart"
23,"Sech","911"
24,"Childish Gambino","Redbone"
25,"CNCO","Tan Enamorados"
26,"Alejandro Fernández & Christian Nodal","Duele"
27,"Queen","Another One Bites The Dust"
28,"Really Slow Motion","Deadwood"
29,"Carlos Rivera & Maluma","100 Años"
30,"Ritt Momney","Put Your Records On"
31,"Tanczaca Krowa","Dancing Polish Cow"
32,"Rauw Alejandro & Anuel AA","Reloj"
33,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
34,"Kim Dracula","Paparazzi"
35,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
36,"Fleetwood Mac","Dreams"
37,"The Weeknd","Blinding Lights"
38,"DripReport","Skechers"
39,"Jason Derulo","Take You Dancing"
40,"Dua Lipa","We're Good"
41,"The Neighbourhood","Sweater Weather"
42,"Kardinal Offishall Feat. Akon","Dangerous"
43,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
44,"KAROL G, Anuel AA & J. Balvin","LOCATION"
45,"Bring Me The Horizon","Can You Feel My Heart"
46,"Kiddtetoon & Diego Smith","Illuminati"
47,"Justin Bieber & benny blanco","Lonely"
48,"Bad Bunny & Jhay Cortez","Dakiti"
49,"Karla Breu","Te Prometo"
50,"Humbe","Sorpresa Sorpresa"
