Shazam Top 50 Mexico City
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"The Weeknd","Save Your Tears"
4,"Olivia Rodrigo","drivers license"
5,"Boney M.","Rasputin"
6,"Tiësto","The Business"
7,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
8,"kostromin","Моя голова винтом"
9,"Celeste","Love Is Back"
10,"ElyOtto & Zedivan","Sugar Crash"
11,"Myke Towers & Juhn","Bandido"
12,"Masked Wolf","Astronaut In The Ocean"
13,"Issam Alnajjar","Hadal Ahbek"
14,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
15,"SoulChef Feat. Nieve","Write This Down"
16,"Topic & A7S","Breaking Me"
17,"The Weeknd","Blinding Lights"
18,"AronChupa & Little Sis Nora","Trombone"
19,"Leat'eq","Tokyo"
20,"María José Feat. Carlos Rivera","Ya No Me Acuerdo Más de Ti [En Vivo]"
21,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
22,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
23,"Rauw Alejandro & Anuel AA","Reloj"
24,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
25,"Gwen Stefani","Hollaback Girl"
26,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
27,"Pháo","2 Phút Hơn [KAIZ Remix]"
28,"Marca MP","Te Apuesto (En Vivo)"
29,"Humbe","Sorpresa Sorpresa"
30,"Kim Dracula","Paparazzi"
31,"Alejandro Fernández & Christian Nodal","Duele"
32,"Dua Lipa","We're Good"
33,"Black Eyed Peas & Shakira","GIRL LIKE ME"
34,"Ava Max","My Head & My Heart"
35,"Tanczaca Krowa","Dancing Polish Cow"
36,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
37,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
38,"Kiddtetoon & Diego Smith","Illuminati"
39,"Lenin Ramírez & Grupo Firme","Yo Ya No Vuelvo Contigo (En Vivo)"
40,"Daft Punk Feat. Julian Casablancas","Instant Crush"
41,"Kaleo","Way Down We Go"
42,"Banda MS de Sergio Lizárraga","La Casita"
43,"Rauw Alejandro","Algo Mágico"
44,"Billie Eilish","Therefore I Am"
45,"Post Malone","Only Wanna Be With You (Pokémon 25 Version)"
46,"Queen","Another One Bites The Dust"
47,"Carin De leon","El Toxico"
48,"Papu DJ","La Guerra"
49,"Gotye Feat. Kimbra","Somebody That I Used To Know"
50,"Bring Me The Horizon","Can You Feel My Heart"
