Shazam Top 50 Monterrey
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Olivia Rodrigo","drivers license"
2,"Kali Uchis","telepatía"
3,"The Weeknd","Save Your Tears"
4,"Desconocido","La Canción Más Misteriosa De Internet"
5,"Myke Towers & Juhn","Bandido"
6,"Tiësto","The Business"
7,"Boney M.","Rasputin"
8,"Masked Wolf","Astronaut In The Ocean"
9,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
10,"Issam Alnajjar","Hadal Ahbek"
11,"AronChupa & Little Sis Nora","Trombone"
12,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
13,"ElyOtto & Zedivan","Sugar Crash"
14,"Alejandro Fernández & Christian Nodal","Duele"
15,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
16,"kostromin","Моя голова винтом"
17,"Celeste","Love Is Back"
18,"Piso 21 & Maluma","Más De La Una"
19,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
20,"Carlos Rivera & Maluma","100 Años"
21,"KAROL G, Anuel AA & J. Balvin","LOCATION"
22,"CNCO","Tan Enamorados"
23,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
24,"Banda MS de Sergio Lizárraga","La Casita"
25,"The Weeknd","Blinding Lights"
26,"Black Eyed Peas & Shakira","GIRL LIKE ME"
27,"Billie Eilish","Therefore I Am"
28,"David Guetta & Sia","Let's Love"
29,"SoulChef Feat. Nieve","Write This Down"
30,"Rauw Alejandro & Anuel AA","Reloj"
31,"Carin De leon","El Toxico"
32,"Dua Lipa","We're Good"
33,"Luis Fonsi & Rauw Alejandro","Vacío"
34,"SZA & Justin Timberlake","The Other Side"
35,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
36,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
37,"Post Malone","Only Wanna Be With You (Pokémon 25 Version)"
38,"Camilo","Ropa Cara"
39,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
40,"Karla Breu","Te Prometo"
41,"Leat'eq","Tokyo"
42,"Topic & A7S","Breaking Me"
43,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
44,"María José Feat. Carlos Rivera","Ya No Me Acuerdo Más de Ti [En Vivo]"
45,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
46,"Bad Bunny & Jhay Cortez","Dakiti"
47,"Secretto","Tan Bella Y Presumida"
48,"Gwen Stefani","Hollaback Girl"
49,"Sebastián Yatra","Adiós"
50,"KAROL G","BICHOTA"
