Shazam Top 50 Morelia
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Olivia Rodrigo","drivers license"
3,"Desconocido","La Canción Más Misteriosa De Internet"
4,"Tiësto","The Business"
5,"The Weeknd","Save Your Tears"
6,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
7,"Boney M.","Rasputin"
8,"kostromin","Моя голова винтом"
9,"Myke Towers & Juhn","Bandido"
10,"Issam Alnajjar","Hadal Ahbek"
11,"ElyOtto & Zedivan","Sugar Crash"
12,"SoulChef Feat. Nieve","Write This Down"
13,"Black Eyed Peas & Shakira","GIRL LIKE ME"
14,"Banda MS de Sergio Lizárraga","La Casita"
15,"Masked Wolf","Astronaut In The Ocean"
16,"The Weeknd","Blinding Lights"
17,"Humbe","Sorpresa Sorpresa"
18,"Ava Max","My Head & My Heart"
19,"Pháo","2 Phút Hơn [KAIZ Remix]"
20,"Gwen Stefani","Hollaback Girl"
21,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
22,"Dua Lipa","We're Good"
23,"Billie Eilish","Therefore I Am"
24,"Kim Dracula","Paparazzi"
25,"Topic & A7S","Breaking Me"
26,"Rauw Alejandro","Algo Mágico"
27,"Tanczaca Krowa","Dancing Polish Cow"
28,"KAROL G, Anuel AA & J. Balvin","LOCATION"
29,"Alejandro Fernández & Christian Nodal","Duele"
30,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
31,"Kaleo","Way Down We Go"
32,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
33,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
34,"Sam Smith","Diamonds"
35,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
36,"Leat'eq","Tokyo"
37,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
38,"DripReport","Skechers"
39,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
40,"Gotye Feat. Kimbra","Somebody That I Used To Know"
41,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
42,"Carlos Rivera & Maluma","100 Años"
43,"Queen","Another One Bites The Dust"
44,"Really Slow Motion","Deadwood"
45,"Carin De leon","El Toxico"
46,"Burak Yeter Feat. Danelle Sandoval","Tuesday"
47,"Jason Derulo","Take You Dancing"
48,"KAROL G","BICHOTA"
49,"Twenty One Pilots","Stressed Out"
50,"Sergio Valentino","Drive Forever"
