Shazam Top 50 Mérida
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Boney M.","Rasputin"
4,"Olivia Rodrigo","drivers license"
5,"The Weeknd","Save Your Tears"
6,"kostromin","Моя голова винтом"
7,"ElyOtto & Zedivan","Sugar Crash"
8,"Leat'eq","Tokyo"
9,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
10,"Issam Alnajjar","Hadal Ahbek"
11,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
12,"Tiësto","The Business"
13,"Myke Towers & Juhn","Bandido"
14,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
15,"Pháo","2 Phút Hơn [KAIZ Remix]"
16,"Kim Dracula","Paparazzi"
17,"The Weeknd","Blinding Lights"
18,"Masked Wolf","Astronaut In The Ocean"
19,"Gwen Stefani","Hollaback Girl"
20,"SoulChef Feat. Nieve","Write This Down"
21,"KAROL G, Anuel AA & J. Balvin","LOCATION"
22,"Bring Me The Horizon","Can You Feel My Heart"
23,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
24,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
25,"Daddy Yankee","PROBLEMA"
26,"Tanczaca Krowa","Dancing Polish Cow"
27,"Black Eyed Peas & Shakira","GIRL LIKE ME"
28,"Humbe","Sorpresa Sorpresa"
29,"Bad Bunny & Jhay Cortez","Dakiti"
30,"Rauw Alejandro & Anuel AA","Reloj"
31,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
32,"Alejandro Fernández & Christian Nodal","Duele"
33,"Dj Wayn","Va Va Vroum Vroum"
34,"KAROL G","BICHOTA"
35,"Kiddtetoon & Diego Smith","Illuminati"
36,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
37,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
38,"Momokurotei Ichimon","Nippon Egao Hyakkei"
39,"Paul Anka","Put Your Head On My Shoulder"
40,"Capital Cities","Safe And Sound"
41,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
42,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
43,"ATB, Topic & A7S","Your Love (9PM)"
44,"Kaleo","Way Down We Go"
45,"Lenin Ramírez & Grupo Firme","Yo Ya No Vuelvo Contigo (En Vivo)"
46,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
47,"Rico","Ay Rico Rico Rico"
48,"Twenty One Pilots","Stressed Out"
49,"Camilo","Ropa Cara"
50,"Doja Cat","Streets"
