Shazam Top 50 Nuevo Laredo
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Olivia Rodrigo","drivers license"
2,"Kali Uchis","telepatía"
3,"Desconocido","La Canción Más Misteriosa De Internet"
4,"The Weeknd","Save Your Tears"
5,"Myke Towers & Juhn","Bandido"
6,"Masked Wolf","Astronaut In The Ocean"
7,"Boney M.","Rasputin"
8,"Issam Alnajjar","Hadal Ahbek"
9,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
10,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
11,"kostromin","Моя голова винтом"
12,"Piso 21 & Maluma","Más De La Una"
13,"Tiësto","The Business"
14,"SZA & Justin Timberlake","The Other Side"
15,"AronChupa & Little Sis Nora","Trombone"
16,"ElyOtto & Zedivan","Sugar Crash"
17,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
18,"KAROL G, Anuel AA & J. Balvin","LOCATION"
19,"CNCO","Tan Enamorados"
20,"Gwen Stefani","Hollaback Girl"
21,"Camilo","Ropa Cara"
22,"Luis Fonsi & Rauw Alejandro","Vacío"
23,"Papu DJ","La Guerra"
24,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
25,"Banda MS de Sergio Lizárraga","La Casita"
26,"The Weeknd","Blinding Lights"
27,"Celeste","Love Is Back"
28,"Billie Eilish","Therefore I Am"
29,"Carlos Rivera & Maluma","100 Años"
30,"Dua Lipa","We're Good"
31,"Pháo","2 Phút Hơn [KAIZ Remix]"
32,"Alejandro Fernández & Christian Nodal","Duele"
33,"Topic & A7S","Breaking Me"
34,"La Santa Grifa","Por Mi Zona"
35,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
36,"Rauw Alejandro & Anuel AA","Reloj"
37,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
38,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
39,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
40,"María José Feat. Carlos Rivera","Ya No Me Acuerdo Más de Ti [En Vivo]"
41,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
42,"Kim Dracula","Paparazzi"
43,"SoulChef Feat. Nieve","Write This Down"
44,"DripReport","Skechers"
45,"Lenin Ramírez & Grupo Firme","Yo Ya No Vuelvo Contigo (En Vivo)"
46,"Black Eyed Peas & Shakira","GIRL LIKE ME"
47,"Gotye Feat. Kimbra","Somebody That I Used To Know"
48,"Travis Scott & HVME","Goosebumps (Remix)"
49,"Daddy Yankee","PROBLEMA"
50,"Lewis Capaldi","Before You Go"
