Shazam Top 50 Oaxaca
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Boney M.","Rasputin"
3,"Olivia Rodrigo","drivers license"
4,"Desconocido","La Canción Más Misteriosa De Internet"
5,"kostromin","Моя голова винтом"
6,"Issam Alnajjar","Hadal Ahbek"
7,"ElyOtto & Zedivan","Sugar Crash"
8,"The Weeknd","Save Your Tears"
9,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
10,"Leat'eq","Tokyo"
11,"BTS","Dynamite"
12,"Kim Dracula","Paparazzi"
13,"SoulChef Feat. Nieve","Write This Down"
14,"BTS","Life Goes On"
15,"Tiësto","The Business"
16,"Myke Towers & Juhn","Bandido"
17,"Really Slow Motion","Deadwood"
18,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
19,"Masked Wolf","Astronaut In The Ocean"
20,"Tanczaca Krowa","Dancing Polish Cow"
21,"Gwen Stefani","Hollaback Girl"
22,"Kiddtetoon & Diego Smith","Illuminati"
23,"Kaleo","Way Down We Go"
24,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
25,"LA YOUNG","Como Estrellas"
26,"Edith Whiskers","Home"
27,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
28,"Pascal Letoublon","Friendships"
29,"The Weeknd","Blinding Lights"
30,"La Santa Grifa","Por Mi Zona"
31,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
32,"Hiboky","Exil"
33,"Humbe","Sorpresa Sorpresa"
34,"Paul Anka","Put Your Head On My Shoulder"
35,"Bring Me The Horizon","Can You Feel My Heart"
36,"Twenty One Pilots","Stressed Out"
37,"Black Eyed Peas & Shakira","GIRL LIKE ME"
38,"Leah Nobel","Beginning Middle End (From The Netflix Film "To All The Boys: Always and Forever")"
39,"Momokurotei Ichimon","Nippon Egao Hyakkei"
40,"Stefflon Don","16 Shots"
41,"Migos Feat. Young Thug","YRN"
42,"Banda MS de Sergio Lizárraga","La Casita"
43,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
44,"Selena Gomez","Love You Like A Love Song (Midnight Sun Male Version)"
45,"Pháo","2 Phút Hơn [KAIZ Remix]"
46,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
47,"Aya Nakamura","Copines"
48,"Bryant Myers & Miky Woodz","No Ando Solo"
49,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
50,"Doja Cat","Streets"
