Shazam Top 50 Pachuca de Soto
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"Boney M.","Rasputin"
5,"The Weeknd","Save Your Tears"
6,"kostromin","Моя голова винтом"
7,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
8,"ElyOtto & Zedivan","Sugar Crash"
9,"Tiësto","The Business"
10,"SoulChef Feat. Nieve","Write This Down"
11,"Issam Alnajjar","Hadal Ahbek"
12,"Celeste","Love Is Back"
13,"Myke Towers & Juhn","Bandido"
14,"The Weeknd","Blinding Lights"
15,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
16,"Kim Dracula","Paparazzi"
17,"Nathan Evans","Wellerman (Sea Shanty)"
18,"Gwen Stefani","Hollaback Girl"
19,"Really Slow Motion","Deadwood"
20,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
21,"Gotye Feat. Kimbra","Somebody That I Used To Know"
22,"Kaleo","Way Down We Go"
23,"Leat'eq","Tokyo"
24,"Masked Wolf","Astronaut In The Ocean"
25,"Tanczaca Krowa","Dancing Polish Cow"
26,"AronChupa & Little Sis Nora","Trombone"
27,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
28,"Daft Punk Feat. Pharrell Williams","Get Lucky"
29,"Capital Cities","Safe And Sound"
30,"Rauw Alejandro & Anuel AA","Reloj"
31,"Humbe","Sorpresa Sorpresa"
32,"La Santa Grifa","Por Mi Zona"
33,"Queen","Another One Bites The Dust"
34,"Alejandro Fernández & Christian Nodal","Duele"
35,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
36,"Topic & A7S","Breaking Me"
37,"Post Malone","Only Wanna Be With You (Pokémon 25 Version)"
38,"María José Feat. Carlos Rivera","Ya No Me Acuerdo Más de Ti [En Vivo]"
39,"Stefflon Don","16 Shots"
40,"Bruno Mars","Locked Out Of Heaven"
41,"Twenty One Pilots","Stressed Out"
42,"Sia","Snowman"
43,"SZA & Justin Timberlake","The Other Side"
44,"Kiddtetoon & Diego Smith","Illuminati"
45,"Sergio Valentino","Drive Forever"
46,"Daft Punk Feat. Julian Casablancas","Instant Crush"
47,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
48,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
49,"Pháo","2 Phút Hơn [KAIZ Remix]"
50,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
