Shazam Top 50 Puebla
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"The Weeknd","Save Your Tears"
4,"Olivia Rodrigo","drivers license"
5,"Boney M.","Rasputin"
6,"Tiësto","The Business"
7,"kostromin","Моя голова винтом"
8,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
9,"Issam Alnajjar","Hadal Ahbek"
10,"SoulChef Feat. Nieve","Write This Down"
11,"Myke Towers & Juhn","Bandido"
12,"Leat'eq","Tokyo"
13,"ElyOtto & Zedivan","Sugar Crash"
14,"Kim Dracula","Paparazzi"
15,"Gwen Stefani","Hollaback Girl"
16,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
17,"María José Feat. Carlos Rivera","Ya No Me Acuerdo Más de Ti [En Vivo]"
18,"Pháo","2 Phút Hơn [KAIZ Remix]"
19,"Black Eyed Peas & Shakira","GIRL LIKE ME"
20,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
21,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
22,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
23,"Rauw Alejandro & Anuel AA","Reloj"
24,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
25,"The Weeknd","Blinding Lights"
26,"Tanczaca Krowa","Dancing Polish Cow"
27,"Alejandro Fernández & Christian Nodal","Duele"
28,"Really Slow Motion","Deadwood"
29,"Humbe","Sorpresa Sorpresa"
30,"Kiddtetoon & Diego Smith","Illuminati"
31,"Topic & A7S","Breaking Me"
32,"Masked Wolf","Astronaut In The Ocean"
33,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
34,"Kaleo","Way Down We Go"
35,"DripReport","Skechers"
36,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
37,"Dua Lipa","We're Good"
38,"Banda MS de Sergio Lizárraga","La Casita"
39,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
40,"Rauw Alejandro","Algo Mágico"
41,"Queen","Another One Bites The Dust"
42,"Marca MP","Te Apuesto (En Vivo)"
43,"Lenin Ramírez & Grupo Firme","Yo Ya No Vuelvo Contigo (En Vivo)"
44,"Billie Eilish","Therefore I Am"
45,"Paul Anka","Put Your Head On My Shoulder"
46,"Capital Cities","Safe And Sound"
47,"Twenty One Pilots","Stressed Out"
48,"Carlos Rivera & Maluma","100 Años"
49,"The Neighbourhood","Sweater Weather"
50,"Momokurotei Ichimon","Nippon Egao Hyakkei"
