Shazam Top 50 Reynosa
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Olivia Rodrigo","drivers license"
3,"The Weeknd","Save Your Tears"
4,"Desconocido","La Canción Más Misteriosa De Internet"
5,"ElyOtto & Zedivan","Sugar Crash"
6,"kostromin","Моя голова винтом"
7,"Myke Towers & Juhn","Bandido"
8,"Boney M.","Rasputin"
9,"Issam Alnajjar","Hadal Ahbek"
10,"Tiësto","The Business"
11,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
12,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
13,"Masked Wolf","Astronaut In The Ocean"
14,"Kim Dracula","Paparazzi"
15,"SoulChef Feat. Nieve","Write This Down"
16,"Rauw Alejandro & Anuel AA","Reloj"
17,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
18,"Tanczaca Krowa","Dancing Polish Cow"
19,"Banda MS de Sergio Lizárraga","La Casita"
20,"Gwen Stefani","Hollaback Girl"
21,"Carlos Rivera & Maluma","100 Años"
22,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
23,"KAROL G, Anuel AA & J. Balvin","LOCATION"
24,"Bring Me The Horizon","Can You Feel My Heart"
25,"Carin De leon","El Toxico"
26,"AronChupa & Little Sis Nora","Trombone"
27,"Twenty One Pilots","Stressed Out"
28,"Leat'eq","Tokyo"
29,"Lenin Ramírez & Grupo Firme","Yo Ya No Vuelvo Contigo (En Vivo)"
30,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
31,"Gotye Feat. Kimbra","Somebody That I Used To Know"
32,"Paul Anka","Put Your Head On My Shoulder"
33,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
34,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
35,"Rauw Alejandro","Algo Mágico"
36,"Celeste","Love Is Back"
37,"Camilo","Ropa Cara"
38,"Alejandro Fernández & Christian Nodal","Duele"
39,"SZA & Justin Timberlake","The Other Side"
40,"La Santa Grifa","Por Mi Zona"
41,"Momokurotei Ichimon","Nippon Egao Hyakkei"
42,"Secretto","Tan Bella Y Presumida"
43,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
44,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
45,"KAROL G","BICHOTA"
46,"Topic & A7S","Breaking Me"
47,"Obzesion","Mi Trokita Cumbia"
48,"CNCO","Tan Enamorados"
49,"The Weeknd","Blinding Lights"
50,"Kiddtetoon & Diego Smith","Illuminati"
