Shazam Top 50 Saltillo
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
5,"Boney M.","Rasputin"
6,"ElyOtto & Zedivan","Sugar Crash"
7,"kostromin","Моя голова винтом"
8,"The Weeknd","Save Your Tears"
9,"Myke Towers & Juhn","Bandido"
10,"Gwen Stefani","Hollaback Girl"
11,"Leat'eq","Tokyo"
12,"Tanczaca Krowa","Dancing Polish Cow"
13,"Masked Wolf","Astronaut In The Ocean"
14,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
15,"La Santa Grifa","Por Mi Zona"
16,"Rauw Alejandro & Anuel AA","Reloj"
17,"SoulChef Feat. Nieve","Write This Down"
18,"Pháo","2 Phút Hơn [KAIZ Remix]"
19,"Humbe","Sorpresa Sorpresa"
20,"Doja Cat","Streets"
21,"Tiësto","The Business"
22,"Kim Dracula","Paparazzi"
23,"SZA & Justin Timberlake","The Other Side"
24,"Rauw Alejandro","Algo Mágico"
25,"Issam Alnajjar","Hadal Ahbek"
26,"Carin De leon","El Toxico"
27,"The Weeknd","Blinding Lights"
28,"Bring Me The Horizon","Can You Feel My Heart"
29,"Queen","Another One Bites The Dust"
30,"Childish Gambino","Redbone"
31,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
32,"Leyla Blue","What A Shame"
33,"Kiddtetoon & Diego Smith","Illuminati"
34,"Gotye Feat. Kimbra","Somebody That I Used To Know"
35,"KAROL G, Anuel AA & J. Balvin","LOCATION"
36,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
37,"Really Slow Motion","Deadwood"
38,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
39,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
40,"LA YOUNG","Como Estrellas"
41,"DripReport","Skechers"
42,"Carlos Rivera & Maluma","100 Años"
43,"Dirty Heads","Vacation"
44,"Sia","Snowman"
45,"Aya Nakamura","Copines"
46,"Iron & Wine","Flightless Bird, American Mouth (Twilight Soundtrack Version)"
47,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
48,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
49,"Mother Mother","Hay Loft"
50,"Selena Gomez","Love You Like A Love Song (Midnight Sun Male Version)"
