Shazam Top 50 San Juan del Río
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"The Weeknd","Save Your Tears"
4,"Boney M.","Rasputin"
5,"Olivia Rodrigo","drivers license"
6,"Issam Alnajjar","Hadal Ahbek"
7,"Tiësto","The Business"
8,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
9,"ElyOtto & Zedivan","Sugar Crash"
10,"kostromin","Моя голова винтом"
11,"SoulChef Feat. Nieve","Write This Down"
12,"Topic & A7S","Breaking Me"
13,"Myke Towers & Juhn","Bandido"
14,"The Weeknd","Blinding Lights"
15,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
16,"Rauw Alejandro & Anuel AA","Reloj"
17,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
18,"Kim Dracula","Paparazzi"
19,"Alejandro Fernández & Christian Nodal","Duele"
20,"Gwen Stefani","Hollaback Girl"
21,"Really Slow Motion","Deadwood"
22,"Masked Wolf","Astronaut In The Ocean"
23,"Banda MS de Sergio Lizárraga","La Casita"
24,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
25,"Childish Gambino","Redbone"
26,"Kiddtetoon & Diego Smith","Illuminati"
27,"Joan Y Su Elite & Manuel Rodriguez","Me Gusta Mi Vida"
28,"Kaleo","Way Down We Go"
29,"Leat'eq","Tokyo"
30,"DaBaby Feat. Roddy Ricch","ROCKSTAR"
31,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
32,"Bring Me The Horizon","Can You Feel My Heart"
33,"Sergio Valentino","Drive Forever"
34,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
35,"Daddy Yankee","PROBLEMA"
36,"Twenty One Pilots","Stressed Out"
37,"Jason Derulo","Take You Dancing"
38,"Billie Eilish","Therefore I Am"
39,"Queen","Another One Bites The Dust"
40,"La Santa Grifa","Por Mi Zona"
41,"Pháo","2 Phút Hơn [KAIZ Remix]"
42,"Humbe","Sorpresa Sorpresa"
43,"Justin Quiles, Natti Natasha & Farruko Feat. Zion, Dalex & Lenny Tavárez","DJ No Pare [Remix]"
44,"Rauw Alejandro","Algo Mágico"
45,"Stefflon Don","16 Shots"
46,"Tanczaca Krowa","Dancing Polish Cow"
47,"AronChupa & Little Sis Nora","Trombone"
48,"Pascal Letoublon","Friendships"
49,"Black Eyed Peas & Shakira","GIRL LIKE ME"
50,"Gotye Feat. Kimbra","Somebody That I Used To Know"
