Shazam Top 50 San Luis Potosí
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"The Weeknd","Save Your Tears"
5,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
6,"Boney M.","Rasputin"
7,"ElyOtto & Zedivan","Sugar Crash"
8,"kostromin","Моя голова винтом"
9,"Tiësto","The Business"
10,"Issam Alnajjar","Hadal Ahbek"
11,"Myke Towers & Juhn","Bandido"
12,"SoulChef Feat. Nieve","Write This Down"
13,"Gwen Stefani","Hollaback Girl"
14,"Leat'eq","Tokyo"
15,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
16,"Kim Dracula","Paparazzi"
17,"Alejandro Fernández & Christian Nodal","Duele"
18,"Queen","Another One Bites The Dust"
19,"Really Slow Motion","Deadwood"
20,"Humbe","Sorpresa Sorpresa"
21,"Masked Wolf","Astronaut In The Ocean"
22,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
23,"María José Feat. Carlos Rivera","Ya No Me Acuerdo Más de Ti [En Vivo]"
24,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
25,"Banda MS de Sergio Lizárraga","La Casita"
26,"Pháo","2 Phút Hơn [KAIZ Remix]"
27,"Kiddtetoon & Diego Smith","Illuminati"
28,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
29,"Rauw Alejandro & Anuel AA","Reloj"
30,"Carlos Rivera & Maluma","100 Años"
31,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
32,"Leyla Blue","What A Shame"
33,"The Weeknd","Blinding Lights"
34,"Tanczaca Krowa","Dancing Polish Cow"
35,"Doja Cat","Streets"
36,"Daddy Yankee","PROBLEMA"
37,"DaBaby Feat. Roddy Ricch","ROCKSTAR"
38,"Kaleo","Way Down We Go"
39,"Rauw Alejandro","Algo Mágico"
40,"Gotye Feat. Kimbra","Somebody That I Used To Know"
41,"KAROL G","BICHOTA"
42,"Carin De leon","El Toxico"
43,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
44,"Twenty One Pilots","Stressed Out"
45,"SZA & Justin Timberlake","The Other Side"
46,"DripReport","Skechers"
47,"Black Eyed Peas & Shakira","GIRL LIKE ME"
48,"Camilo","Ropa Cara"
49,"Humbe","tú me hiciste volar"
50,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
