Shazam Top 50 San Nicolás de los Garza
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Desconocido","La Canción Más Misteriosa De Internet"
2,"Kali Uchis","telepatía"
3,"Olivia Rodrigo","drivers license"
4,"The Weeknd","Save Your Tears"
5,"Boney M.","Rasputin"
6,"Myke Towers & Juhn","Bandido"
7,"ElyOtto & Zedivan","Sugar Crash"
8,"Issam Alnajjar","Hadal Ahbek"
9,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
10,"kostromin","Моя голова винтом"
11,"Tiësto","The Business"
12,"Leat'eq","Tokyo"
13,"Masked Wolf","Astronaut In The Ocean"
14,"Kim Dracula","Paparazzi"
15,"AronChupa & Little Sis Nora","Trombone"
16,"Bring Me The Horizon","Can You Feel My Heart"
17,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
18,"SoulChef Feat. Nieve","Write This Down"
19,"Tanczaca Krowa","Dancing Polish Cow"
20,"Gwen Stefani","Hollaback Girl"
21,"Really Slow Motion","Deadwood"
22,"Dua Lipa","We're Good"
23,"Migos Feat. Young Thug","YRN"
24,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
25,"Leyla Blue","What A Shame"
26,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
27,"Rauw Alejandro & Anuel AA","Reloj"
28,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
29,"SZA & Justin Timberlake","The Other Side"
30,"Humbe","Sorpresa Sorpresa"
31,"Papu DJ","La Guerra"
32,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
33,"Karla Breu","Te Prometo"
34,"Doja Cat","Streets"
35,"Kiddtetoon & Diego Smith","Illuminati"
36,"Secretto","Tan Bella Y Presumida"
37,"David Guetta & Sia","Let's Love"
38,"KAROL G","BICHOTA"
39,"Carin De leon","El Toxico"
40,"Pháo","2 Phút Hơn [KAIZ Remix]"
41,"The Weeknd","Blinding Lights"
42,"Gotye Feat. Kimbra","Somebody That I Used To Know"
43,"Billie Eilish","Therefore I Am"
44,"CNCO","Tan Enamorados"
45,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
46,"Luis Fonsi & Rauw Alejandro","Vacío"
47,"Alejandro Fernández & Christian Nodal","Duele"
48,"Camilo","Ropa Cara"
49,"Rag'n'Bone Man","All You Ever Wanted"
50,"Post Malone","Only Wanna Be With You (Pokémon 25 Version)"
