Shazam Top 50 Santiago de Querétaro
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"The Weeknd","Save Your Tears"
5,"Boney M.","Rasputin"
6,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
7,"Issam Alnajjar","Hadal Ahbek"
8,"kostromin","Моя голова винтом"
9,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
10,"Tiësto","The Business"
11,"ElyOtto & Zedivan","Sugar Crash"
12,"Leat'eq","Tokyo"
13,"Kim Dracula","Paparazzi"
14,"LA YOUNG","Como Estrellas"
15,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
16,"Maroon 5","Animals"
17,"Rauw Alejandro","Algo Mágico"
18,"Humbe","Sorpresa Sorpresa"
19,"SoulChef Feat. Nieve","Write This Down"
20,"Kiddtetoon & Diego Smith","Illuminati"
21,"Myke Towers & Juhn","Bandido"
22,"Pháo","2 Phút Hơn [KAIZ Remix]"
23,"Rihanna","Needed Me (Cosmic Dawn Club Mix)"
24,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
25,"Migos Feat. Young Thug","YRN"
26,"Masked Wolf","Astronaut In The Ocean"
27,"Leyla Blue","What A Shame"
28,"The Weeknd","Blinding Lights"
29,"Queen","Another One Bites The Dust"
30,"Rauw Alejandro & Anuel AA","Reloj"
31,"Humbe","tú me hiciste volar"
32,"Gwen Stefani","Hollaback Girl"
33,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
34,"Sech","911"
35,"Kaleo","Way Down We Go"
36,"SHAED","Trampoline (Jauz Remix)"
37,"Lenin Ramírez & Grupo Firme","Yo Ya No Vuelvo Contigo (En Vivo)"
38,"Mother Mother","Hay Loft"
39,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
40,"Capital Cities","Safe And Sound"
41,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
42,"Justin Quiles, Natti Natasha & Farruko Feat. Zion, Dalex & Lenny Tavárez","DJ No Pare [Remix]"
43,"Topic & A7S","Breaking Me"
44,"La Santa Grifa","Por Mi Zona"
45,"Gotye Feat. Kimbra","Somebody That I Used To Know"
46,"Bruno Mars","Locked Out Of Heaven"
47,"Hozier","Take Me To Church"
48,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
49,"Katy Perry Feat. Nicki Minaj","Swish Swish"
50,"Capone","Streets Favorite"
