Shazam Top 50 Tijuana
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"Myke Towers & Juhn","Bandido"
5,"The Weeknd","Save Your Tears"
6,"Boney M.","Rasputin"
7,"kostromin","Моя голова винтом"
8,"SoulChef Feat. Nieve","Write This Down"
9,"ElyOtto & Zedivan","Sugar Crash"
10,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
11,"Ava Max","My Head & My Heart"
12,"Tiësto","The Business"
13,"Carlos Rivera & Maluma","100 Años"
14,"Masked Wolf","Astronaut In The Ocean"
15,"KAROL G, Anuel AA & J. Balvin","LOCATION"
16,"SZA & Justin Timberlake","The Other Side"
17,"Issam Alnajjar","Hadal Ahbek"
18,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
19,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
20,"Camilo","Ropa Cara"
21,"Bad Bunny & Jhay Cortez","Dakiti"
22,"Leat'eq","Tokyo"
23,"Kardinal Offishall Feat. Akon","Dangerous"
24,"Gwen Stefani","Hollaback Girl"
25,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
26,"Kim Dracula","Paparazzi"
27,"CNCO","Tan Enamorados"
28,"Billie Eilish","Therefore I Am"
29,"KAROL G","BICHOTA"
30,"The Weeknd","Blinding Lights"
31,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
32,"Childish Gambino","Redbone"
33,"Banda MS de Sergio Lizárraga","La Casita"
34,"Piso 21 & Maluma","Más De La Una"
35,"Ritt Momney","Put Your Records On"
36,"Dua Lipa","We're Good"
37,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
38,"Black Eyed Peas & Shakira","GIRL LIKE ME"
39,"Tanczaca Krowa","Dancing Polish Cow"
40,"Pháo","2 Phút Hơn [KAIZ Remix]"
41,"Alejandro Fernández & Christian Nodal","Duele"
42,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
43,"Megan Thee Stallion","Body"
44,"Harry Styles","Golden"
45,"AJR","Bang!"
46,"Carin De leon","El Toxico"
47,"La Santa Grifa","Por Mi Zona"
48,"Bring Me The Horizon","Can You Feel My Heart"
49,"Leyla Blue","What A Shame"
50,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
