Shazam Top 50 Tlaxcala
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Boney M.","Rasputin"
4,"The Weeknd","Save Your Tears"
5,"Olivia Rodrigo","drivers license"
6,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
7,"Issam Alnajjar","Hadal Ahbek"
8,"SoulChef Feat. Nieve","Write This Down"
9,"kostromin","Моя голова винтом"
10,"Kim Dracula","Paparazzi"
11,"ElyOtto & Zedivan","Sugar Crash"
12,"Leat'eq","Tokyo"
13,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
14,"Rauw Alejandro","Algo Mágico"
15,"Masked Wolf","Astronaut In The Ocean"
16,"Tiësto","The Business"
17,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
18,"Rauw Alejandro & Anuel AA","Reloj"
19,"Pháo","2 Phút Hơn [KAIZ Remix]"
20,"Gwen Stefani","Hollaback Girl"
21,"Myke Towers & Juhn","Bandido"
22,"LA YOUNG","Como Estrellas"
23,"Black Eyed Peas & Shakira","GIRL LIKE ME"
24,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
25,"Really Slow Motion","Deadwood"
26,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
27,"Kiddtetoon & Diego Smith","Illuminati"
28,"Humbe","tú me hiciste volar"
29,"Lenin Ramírez & Grupo Firme","Yo Ya No Vuelvo Contigo (En Vivo)"
30,"Humbe","Sorpresa Sorpresa"
31,"ZABO","Breathe"
32,"Hippie Sabotage","Devil Eyes"
33,"Hiboky","Exil"
34,"The Neighbourhood","Sweater Weather"
35,"Daft Punk Feat. Pharrell Williams","Get Lucky"
36,"Twenty One Pilots","Stressed Out"
37,"Kaleo","Way Down We Go"
38,"Stefflon Don","16 Shots"
39,"Bad Bunny & Jhay Cortez","Dakiti"
40,"Dj Wayn","Va Va Vroum Vroum"
41,"DripReport","Skechers"
42,"Tanczaca Krowa","Dancing Polish Cow"
43,"Nathan Evans","Wellerman (Sea Shanty)"
44,"Queen","Another One Bites The Dust"
45,"Capital Cities","Safe And Sound"
46,"Momokurotei Ichimon","Nippon Egao Hyakkei"
47,"Michael Bublé","Feeling Good"
48,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
49,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
50,"Ovi, Myke Towers & Aleman Feat. Ñengo Flow","Las Leyendas Nunca Mueren"
