Shazam Top 50 Torreón
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"Boney M.","Rasputin"
5,"kostromin","Моя голова винтом"
6,"ElyOtto & Zedivan","Sugar Crash"
7,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
8,"The Weeknd","Save Your Tears"
9,"Myke Towers & Juhn","Bandido"
10,"Issam Alnajjar","Hadal Ahbek"
11,"Tiësto","The Business"
12,"Leat'eq","Tokyo"
13,"Banda MS de Sergio Lizárraga","La Casita"
14,"SoulChef Feat. Nieve","Write This Down"
15,"Gwen Stefani","Hollaback Girl"
16,"Really Slow Motion","Deadwood"
17,"Gotye Feat. Kimbra","Somebody That I Used To Know"
18,"Kim Dracula","Paparazzi"
19,"KAROL G, Anuel AA & J. Balvin","LOCATION"
20,"Migos Feat. Young Thug","YRN"
21,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
22,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
23,"SZA & Justin Timberlake","The Other Side"
24,"Kiddtetoon & Diego Smith","Illuminati"
25,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
26,"Sergio Valentino","Drive Forever"
27,"KAROL G","BICHOTA"
28,"Humbe","Sorpresa Sorpresa"
29,"Black Eyed Peas & Shakira","GIRL LIKE ME"
30,"Tanczaca Krowa","Dancing Polish Cow"
31,"The Weeknd","Blinding Lights"
32,"Billie Eilish","Therefore I Am"
33,"Bring Me The Horizon","Can You Feel My Heart"
34,"Masked Wolf","Astronaut In The Ocean"
35,"DaBaby Feat. Roddy Ricch","ROCKSTAR"
36,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
37,"DripReport","Skechers"
38,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
39,"Queen","Another One Bites The Dust"
40,"Sia","Snowman"
41,"La Santa Grifa","Por Mi Zona"
42,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
43,"Pháo","2 Phút Hơn [KAIZ Remix]"
44,"Humbe","tú me hiciste volar"
45,"María José Feat. Carlos Rivera","Ya No Me Acuerdo Más de Ti [En Vivo]"
46,"David Guetta & Sia","Let's Love"
47,"SAINt JHN","Roses (Imanbek Remix)"
48,"Rauw Alejandro & Anuel AA","Reloj"
49,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
50,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
