Shazam Top 50 Tuxtla
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"kostromin","Моя голова винтом"
5,"Boney M.","Rasputin"
6,"The Weeknd","Save Your Tears"
7,"ElyOtto & Zedivan","Sugar Crash"
8,"Issam Alnajjar","Hadal Ahbek"
9,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
10,"SoulChef Feat. Nieve","Write This Down"
11,"Pháo","2 Phút Hơn [KAIZ Remix]"
12,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
13,"Leat'eq","Tokyo"
14,"Myke Towers & Juhn","Bandido"
15,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
16,"Tanczaca Krowa","Dancing Polish Cow"
17,"Kim Dracula","Paparazzi"
18,"Really Slow Motion","Deadwood"
19,"Kiddtetoon & Diego Smith","Illuminati"
20,"The Weeknd","Blinding Lights"
21,"Tiësto","The Business"
22,"Gwen Stefani","Hollaback Girl"
23,"Humbe","Sorpresa Sorpresa"
24,"Masked Wolf","Astronaut In The Ocean"
25,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
26,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
27,"Twenty One Pilots","Stressed Out"
28,"Kaleo","Way Down We Go"
29,"Banda MS de Sergio Lizárraga","La Casita"
30,"Queen","Another One Bites The Dust"
31,"Hippie Sabotage","Devil Eyes"
32,"Black Eyed Peas & Shakira","GIRL LIKE ME"
33,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
34,"Matias Juarez & Trapzongo","Que Te Parece"
35,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
36,"Momokurotei Ichimon","Nippon Egao Hyakkei"
37,"Hiboky","Exil"
38,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
39,"Rauw Alejandro & Anuel AA","Reloj"
40,"The Neighbourhood","Sweater Weather"
41,"Childish Gambino","Redbone"
42,"Paul Anka","Put Your Head On My Shoulder"
43,"Lenin Ramírez & Grupo Firme","Yo Ya No Vuelvo Contigo (En Vivo)"
44,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
45,"Twin Cabins","Swing Lynn"
46,"Jay Wheeler & DJ Nelson Feat. Myke Towers","La Curiosidad"
47,"Bring Me The Horizon","Can You Feel My Heart"
48,"Migos Feat. Young Thug","YRN"
49,"Grover Washington Jr.","Just The Two Of Us"
50,"Sanober","Kaanta Laga (Samadhi)"
