Shazam Top 50 Uruapan
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"kostromin","Моя голова винтом"
3,"Desconocido","La Canción Más Misteriosa De Internet"
4,"Olivia Rodrigo","drivers license"
5,"ElyOtto & Zedivan","Sugar Crash"
6,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
7,"Boney M.","Rasputin"
8,"Issam Alnajjar","Hadal Ahbek"
9,"SoulChef Feat. Nieve","Write This Down"
10,"The Weeknd","Save Your Tears"
11,"Myke Towers & Juhn","Bandido"
12,"Gwen Stefani","Hollaback Girl"
13,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
14,"Sergio Valentino","Drive Forever"
15,"Humbe","tú me hiciste volar"
16,"SZA & Justin Timberlake","The Other Side"
17,"Tiësto","The Business"
18,"Kim Dracula","Paparazzi"
19,"Leat'eq","Tokyo"
20,"Banda MS de Sergio Lizárraga","La Casita"
21,"jusLo","BIG BANK"
22,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
23,"Marca MP","Ya Acabo"
24,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
25,"LA YOUNG","Como Estrellas"
26,"Humbe","Sorpresa Sorpresa"
27,"Momokurotei Ichimon","Nippon Egao Hyakkei"
28,"Black Eyed Peas & Shakira","GIRL LIKE ME"
29,"Rauw Alejandro","Algo Mágico"
30,"Gotye Feat. Kimbra","Somebody That I Used To Know"
31,"Grupo Diez 4tro","En El Refuego"
32,"Aldo Trujillo & El Guero MP","Brillando Constante"
33,"Bring Me The Horizon","Can You Feel My Heart"
34,"Queen","Another One Bites The Dust"
35,"Hippie Sabotage","Devil Eyes"
36,"Sia","Snowman"
37,"La Santa Grifa","Por Mi Zona"
38,"Migos Feat. Young Thug","YRN"
39,"El Alfa & Yandel & Myke Towers","Dembow Y Reggaeton"
40,"Justin Quiles, Natti Natasha & Farruko Feat. Zion, Dalex & Lenny Tavárez","DJ No Pare [Remix]"
41,"Joan Y Su Elite & Manuel Rodriguez","Me Gusta Mi Vida"
42,"The Weeknd","Blinding Lights"
43,"Tanczaca Krowa","Dancing Polish Cow"
44,"Rihanna","Needed Me (Cosmic Dawn Club Mix)"
45,"Childish Gambino","Redbone"
46,"Hugh Jackman & Keala Settle & Zac Efron & Zendaya & The Greatest Showman Ensemble","The Greatest Show"
47,"Papu DJ","La Guerra"
48,"Masked Wolf","Astronaut In The Ocean"
49,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
50,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
