Shazam Top 50 Venustiano Carranza
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"ATB, Topic & A7S","Your Love (9PM)"
2,"Rauw Alejandro & Anuel AA","Reloj"
3,"Hoobastank","The Reason"
4,"Paulo Londra","Tal Vez"
5,"Desconocido","La Canción Más Misteriosa De Internet"
6,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
7,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
8,"Pháo","2 Phút Hơn [KAIZ Remix]"
9,"Nelly","Hot In Herre"
10,"Los Inquietos Del Norte","Me Harto El Pendejo"
11,"Dr. Dre Feat. Mary J. Blige & Rell","The Message"
12,"Burak Yeter Feat. Danelle Sandoval","Tuesday"
13,"Twenty One Pilots","Heathens"
14,"Ulices Chaidez Y Sus Plebes","¿Por Que Me Enamoré?"
15,"Маша и Медведь","Песня сладкоежки"
16,"Stefflon Don","16 Shots"
17,"Katy Perry Feat. Nicki Minaj","Swish Swish"
18,"Dirty Heads","Vacation"
19,"Romeo Santos Feat. Ozuna","Sobredosis"
20,"Sean Paul","Temperature (DJ Kantik Club Mix)"
21,"Dashboard Confessional","Vindicated"
22,"Perry Como","It's Beginning To Look A Lot Like Christmas"
23,"Ayasa","告白の夜 (LIVE!! Ayasa Theater episode 7)"
24,"Tommee Profitt Feat. Fleurie & Jung Youth","In The End"
25,"Nelly Furtado Feat. Timbaland","Promiscuous"
26,"Yugo Kanno","Il Vento D'oro (Golden Wind)"
27,"Hombres G","Te Quiero (2002)"
28,"Montano, Beéle & Totoy El Frio","sOLA"
29,"Jared Emerson-Johnson","St. John's Dairy"
30,"Rick James","Super Freak"
31,"Dua Lipa","Don't Start Now"
32,"Harry Styles","Adore You"
33,"Miley Cyrus","When I Look At You"
34,"Chunnyt","Stranger"
35,"Gabidulin","Lay Lay"
36,"Cosculluela","Prrrum"
37,"Kiddtetoon & Diego Smith","Illuminati"
38,"Victorious Cast Feat. Victoria Justice","Make It Shine (Victorious Theme)"
39,"Katy Perry","Firework"
40,"Christian Nodal","Aquí Abajo"
41,"Aests","Fight!"
42,"Alba August","We’re Not Gonna Make It"
43,"David Guetta & Sia","Let's Love"
44,"ElyOtto & Zedivan","Sugar Crash"
45,"DJ Siul","Etham Funky Night"
46,"Victorious Cast feat. Victoria Justice & Leon Thomas III","Tell Me That You Love Me"
47,"Tiësto","The Business"
48,"Rihanna Feat. Calvin Harris","We Found Love"
49,"21 Savage & Metro Boomin Feat. Young Thug","Rich N***a Shit"
50,"Kinabalu","De Yang Gatal Gatal Sa"
