Shazam Top 50 Veracruz
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"The Weeknd","Save Your Tears"
5,"Boney M.","Rasputin"
6,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
7,"Tiësto","The Business"
8,"kostromin","Моя голова винтом"
9,"Issam Alnajjar","Hadal Ahbek"
10,"ElyOtto & Zedivan","Sugar Crash"
11,"Myke Towers & Juhn","Bandido"
12,"Leat'eq","Tokyo"
13,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
14,"Pháo","2 Phút Hơn [KAIZ Remix]"
15,"The Weeknd","Blinding Lights"
16,"Kim Dracula","Paparazzi"
17,"SoulChef Feat. Nieve","Write This Down"
18,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
19,"Black Eyed Peas & Shakira","GIRL LIKE ME"
20,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
21,"Gotye Feat. Kimbra","Somebody That I Used To Know"
22,"Gwen Stefani","Hollaback Girl"
23,"Bring Me The Horizon","Can You Feel My Heart"
24,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
25,"KAROL G, Anuel AA & J. Balvin","LOCATION"
26,"Daddy Yankee","PROBLEMA"
27,"Alejandro Fernández & Christian Nodal","Duele"
28,"Rauw Alejandro & Anuel AA","Reloj"
29,"Queen","Another One Bites The Dust"
30,"Kaleo","Way Down We Go"
31,"Ava Max","My Head & My Heart"
32,"Carlos Rivera & Maluma","100 Años"
33,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
34,"Really Slow Motion","Deadwood"
35,"Dua Lipa","We're Good"
36,"María José Feat. Carlos Rivera","Ya No Me Acuerdo Más de Ti [En Vivo]"
37,"Lenin Ramírez & Grupo Firme","Yo Ya No Vuelvo Contigo (En Vivo)"
38,"Sergio Valentino","Drive Forever"
39,"Humbe","Sorpresa Sorpresa"
40,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
41,"Tones And I","Dance Monkey"
42,"Masked Wolf","Astronaut In The Ocean"
43,"Rauw Alejandro","Algo Mágico"
44,"Carin De leon","El Toxico"
45,"Camilo","Ropa Cara"
46,"Marca MP","Te Apuesto (En Vivo)"
47,"Banda MS de Sergio Lizárraga","La Casita"
48,"Tanczaca Krowa","Dancing Polish Cow"
49,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
50,"Billie Eilish","Therefore I Am"
