Shazam Top 50 Victoria de Durango
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Issam Alnajjar","Hadal Ahbek"
4,"kostromin","Моя голова винтом"
5,"Olivia Rodrigo","drivers license"
6,"The Weeknd","Save Your Tears"
7,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
8,"ElyOtto & Zedivan","Sugar Crash"
9,"Boney M.","Rasputin"
10,"SoulChef Feat. Nieve","Write This Down"
11,"Leat'eq","Tokyo"
12,"Tiësto","The Business"
13,"Gwen Stefani","Hollaback Girl"
14,"Kim Dracula","Paparazzi"
15,"Myke Towers & Juhn","Bandido"
16,"Really Slow Motion","Deadwood"
17,"Tanczaca Krowa","Dancing Polish Cow"
18,"Pháo","2 Phút Hơn [KAIZ Remix]"
19,"SZA & Justin Timberlake","The Other Side"
20,"La Santa Grifa","Por Mi Zona"
21,"Banda MS de Sergio Lizárraga","La Casita"
22,"Marca MP","Ya Acabo"
23,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
24,"Fousheé","Deep End"
25,"347aidan","Dancing in My Room"
26,"Masked Wolf","Astronaut In The Ocean"
27,"Sergio Valentino","Drive Forever"
28,"Daddy Yankee","PROBLEMA"
29,"Hozier","Take Me To Church"
30,"KD One","Hay Que Bueno"
31,"KAROL G, Anuel AA & J. Balvin","LOCATION"
32,"Gotye Feat. Kimbra","Somebody That I Used To Know"
33,"Rauw Alejandro & Anuel AA","Reloj"
34,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
35,"Queen","Another One Bites The Dust"
36,"Lady Gaga","Poker Face"
37,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
38,"Mother Mother","Hay Loft"
39,"Black Eyed Peas & Shakira","GIRL LIKE ME"
40,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
41,"Carin De leon","El Toxico"
42,"Billie Eilish","Therefore I Am"
43,"Humbe","Sorpresa Sorpresa"
44,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
45,"Childish Gambino","Redbone"
46,"DripReport","Skechers"
47,"The Kid LAROI","WITHOUT YOU"
48,"Leyla Blue","What A Shame"
49,"The Weeknd","Blinding Lights"
50,"Rauw Alejandro","Algo Mágico"
