Shazam Top 50 Villahermosa
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Olivia Rodrigo","drivers license"
3,"Desconocido","La Canción Más Misteriosa De Internet"
4,"The Weeknd","Save Your Tears"
5,"Boney M.","Rasputin"
6,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
7,"kostromin","Моя голова винтом"
8,"Myke Towers & Juhn","Bandido"
9,"ElyOtto & Zedivan","Sugar Crash"
10,"SoulChef Feat. Nieve","Write This Down"
11,"Issam Alnajjar","Hadal Ahbek"
12,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
13,"Gwen Stefani","Hollaback Girl"
14,"Pháo","2 Phút Hơn [KAIZ Remix]"
15,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
16,"Lenin Ramírez & Grupo Firme","Yo Ya No Vuelvo Contigo (En Vivo)"
17,"Tiësto","The Business"
18,"Leat'eq","Tokyo"
19,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
20,"Tanczaca Krowa","Dancing Polish Cow"
21,"Masked Wolf","Astronaut In The Ocean"
22,"Rihanna","Needed Me (Cosmic Dawn Club Mix)"
23,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
24,"Twenty One Pilots","Stressed Out"
25,"Kim Dracula","Paparazzi"
26,"Momokurotei Ichimon","Nippon Egao Hyakkei"
27,"Really Slow Motion","Deadwood"
28,"Dj Wayn","Va Va Vroum Vroum"
29,"The Weeknd","Blinding Lights"
30,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
31,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
32,"Hiboky","Exil"
33,"KAROL G, Anuel AA & J. Balvin","LOCATION"
34,"Boza","Hecha Pa' Mi"
35,"KAROL G","BICHOTA"
36,"Selena Gomez","Love You Like A Love Song (Midnight Sun Male Version)"
37,"Rauw Alejandro & Anuel AA","Reloj"
38,"JD Pantoja","Santa Paloma"
39,"Paul Anka","Put Your Head On My Shoulder"
40,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
41,"Capital Cities","Safe And Sound"
42,"Bad Bunny & Jhay Cortez","Dakiti"
43,"Rico","Ay Rico Rico Rico"
44,"Kaleo","Way Down We Go"
45,"Bring Me The Horizon","Can You Feel My Heart"
46,"Banda MS de Sergio Lizárraga","La Casita"
47,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
48,"Daddy Yankee","PROBLEMA"
49,"Queen","Another One Bites The Dust"
50,"LA YOUNG","Como Estrellas"
