Shazam Top 50 Xalapa de Enríquez
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Olivia Rodrigo","drivers license"
4,"Boney M.","Rasputin"
5,"kostromin","Моя голова винтом"
6,"The Weeknd","Save Your Tears"
7,"ElyOtto & Zedivan","Sugar Crash"
8,"Tiësto","The Business"
9,"Issam Alnajjar","Hadal Ahbek"
10,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
11,"Kim Dracula","Paparazzi"
12,"Leat'eq","Tokyo"
13,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
14,"SoulChef Feat. Nieve","Write This Down"
15,"Pháo","2 Phút Hơn [KAIZ Remix]"
16,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
17,"Black Eyed Peas & Shakira","GIRL LIKE ME"
18,"Rauw Alejandro & Anuel AA","Reloj"
19,"Tanczaca Krowa","Dancing Polish Cow"
20,"Myke Towers & Juhn","Bandido"
21,"Humbe","Sorpresa Sorpresa"
22,"María José Feat. Carlos Rivera","Ya No Me Acuerdo Más de Ti [En Vivo]"
23,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
24,"Kiddtetoon & Diego Smith","Illuminati"
25,"La Santa Grifa","Por Mi Zona"
26,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
27,"Shaggy Feat. Brian & Tony Gold","Hey Sexy Lady"
28,"Gwen Stefani","Hollaback Girl"
29,"Kaleo","Way Down We Go"
30,"The Weeknd","Blinding Lights"
31,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
32,"Really Slow Motion","Deadwood"
33,"Banda MS de Sergio Lizárraga","La Casita"
34,"Alejandro Fernández & Christian Nodal","Duele"
35,"The Neighbourhood","Sweater Weather"
36,"Queen","Another One Bites The Dust"
37,"Sia","Snowman"
38,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
39,"Leyla Blue","What A Shame"
40,"ATB, Topic & A7S","Your Love (9PM)"
41,"Papu DJ","La Guerra"
42,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
43,"Bring Me The Horizon","Can You Feel My Heart"
44,"Humbe","tú me hiciste volar"
45,"KAROL G","BICHOTA"
46,"Aleman Feat. Snoop Dogg","Mi Tío Snoop"
47,"Dj Wayn","Va Va Vroum Vroum"
48,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
49,"Masked Wolf","Astronaut In The Ocean"
50,"Topic & A7S","Breaking Me"
