Shazam Top 50 Álvaro Obregón
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Alejandra Guzmán","Eternamente Bella"
2,"Roberto Carlos","Cama Y Mesa (Cama E Mesa)"
3,"Sean Paul","Get Busy"
4,"Tankar Perú","Mambo De Machahuay"
5,"Tankar Perú","Sacsayhuamán"
6,"Tankar Perú","Tuntuna"
7,"Apu Rimac","El Condor Pasa"
8,"Cholos Andinos","Carnaval De Arequipa"
9,"Cholos Andinos","Andes"
10,"Cholos Andinos","Adios Pueblo De Ayacucho"
11,"Cholos Andinos","Awatiñas"
12,"Cholos Andinos","Es Asi"
13,"Valéria Oliveira","O Mar Serenou"
14,"Banda De Viento","Sal Con Limón"
15,"Muse","Time Is Running Out"
16,"CHAMPS","3,000 Miles"
17,"Fleetwood Mac","Dreams"
18,"Boney M.","Rasputin"
19,"Leo Rojas","Vamos A Bailar"
20,"Nene Malo","Enganchados Nene Malo (Cumbia Mix)"
21,"Jon Murrill, Lee Richardson, Tom Ford & James Carlo Giorgi Cocozza","Got Me Feeling Like"
22,"Sia","Waving Goodbye"
23,"Sweet Tempest","Mine"
24,"Julian Winding","The Demon Dance"
25,"Efecto Mandarina","Quiero Despertar"
26,"Stefflon Don","16 Shots"
27,"Toots & The Maytals","54-46 Was My Number"
28,"Miki Gonzalez","Nostalgia-Loca Juventud"
29,"Stevie Wonder","I Just Called To Say I Love You"
30,"Alejandra Guzmán, Gloria Trevi","Cuando Un Hombre Te Enamora"
31,"Phora","To The Moon"
32,"Lana Del Rey","Cherry"
33,"Pascal Letoublon","Friendships"
34,"Banda Los Sebastianes","En Eso No Quedamos"
35,"Joe Satriani","Just Look Up"
36,"Clutch","The Mob Goes Wild"
37,"The Prince Karma","Later Bitches"
38,"Saxo Bohemio Band","Pídeme La Luna"
39,"Franco De Vita & Sin Bandera","Si La Ves"
40,"La Oreja De Van Gogh","Pop"
41,"Justin Timberlake Feat. Chris Stapleton","Say Something"
42,"Morillo","Makers Anthem"
43,"Naden","Moraine (Original Mix)"
44,"La Oreja De Van Gogh","Nadie Como Tú"
45,"La Oreja De Van Gogh","Un Mundo Mejor"
46,"Angel Y Khriz & Mr. G","Ven Bailalo (Reggaeton Remix)"
47,"Clem Snide","God Answers Back"
48,"Yuri Buenaventura","Banano De Uraba"
49,"Sen Anlat Karadeniz","Tulum Ağıt (Tema;Dizi Müziği)"
50,"SHRK & Shiloh Dynasty","Keep You Safe"
