Shazam Top 200 Peru Chart
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Aya Nakamura","Copines"
4,"Myke Towers & Juhn","Bandido"
5,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
6,"ElyOtto & Zedivan","Sugar Crash"
7,"kostromin","Моя голова винтом"
8,"LA YOUNG","Como Estrellas"
9,"Olivia Rodrigo","drivers license"
10,"Humbe","Sorpresa Sorpresa"
11,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
12,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
13,"Rauw Alejandro & Anuel AA","Reloj"
14,"Kiddtetoon & Diego Smith","Illuminati"
15,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
16,"KAROL G, Anuel AA & J. Balvin","LOCATION"
17,"Issam Alnajjar","Hadal Ahbek"
18,"Leat'eq","Tokyo"
19,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
20,"The Weeknd","Blinding Lights"
21,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
22,"NP HEAVEN","The Style Weekend (Remix)"
23,"Boney M.","Rasputin"
24,"CNCO","Tan Enamorados"
25,"Boza","Hecha Pa' Mi"
26,"Duncan Laurence","Arcade"
27,"Masked Wolf","Astronaut In The Ocean"
28,"Adso Alejandro","Como Si Nada"
29,"Twenty One Pilots","Stressed Out"
30,"Tesher","Jalebi Baby"
31,"Black Eyed Peas & Shakira","GIRL LIKE ME"
32,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
33,"24kGoldn Feat. iann dior","Mood"
34,"Kaleo","Way Down We Go"
35,"Kim Dracula","Paparazzi"
36,"Gwen Stefani","Hollaback Girl"
37,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
38,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
39,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
40,"Migos Feat. Young Thug","YRN"
41,"The Neighbourhood","Sweater Weather"
42,"Drake Feat. WizKid & Kyla","One Dance"
43,"Gotye Feat. Kimbra","Somebody That I Used To Know"
44,"The Weeknd","Save Your Tears"
45,"Justin Quiles","Ponte Pa' Mi"
46,"ATB, Topic & A7S","Your Love (9PM)"
47,"Camilo & El Alfa","BEBÉ"
48,"Pháo","2 Phút Hơn [KAIZ Remix]"
49,"Ovy On The Drums & Danny Ocean Feat. KAROL G","Miedito o Qué?"
50,"Humbe","tú me hiciste volar"
51,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
52,"Leyla Blue","What A Shame"
53,"Bring Me The Horizon","Can You Feel My Heart"
54,"Israel Kamakawiwo'ole","Over The Rainbow"
55,"Hippie Sabotage","Devil Eyes"
56,"Avicii","The Nights"
57,"Queen","Another One Bites The Dust"
58,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
59,"Momokurotei Ichimon","Nippon Egao Hyakkei"
60,"Migrantes & Alico","Si Me Tomo Una Cerveza"
61,"Never Get Used To People","Life Letters"
62,"Camilo & Evaluna Montaner","Machu Picchu"
63,"Childish Gambino","Redbone"
64,"Daft Punk Feat. Pharrell Williams","Get Lucky"
65,"Magic!","Rude"
66,"Rihanna","Needed Me (Cosmic Dawn Club Mix)"
67,"SZA & Justin Timberlake","The Other Side"
68,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
69,"Grover Washington Jr.","Just The Two Of Us"
70,"Stefflon Don","16 Shots"
71,"Coldplay","Hymn For The Weekend"
72,"Humbe","Confieso"
73,"Daddy Yankee","PROBLEMA"
74,"Rihanna","Where Have You Been"
75,"Justin Bieber & benny blanco","Lonely"
76,"Laura Branigan","Self Control"
77,"Paul Anka","Put Your Head On My Shoulder"
78,"Armonia 10","Espérame"
79,"Sia","Snowman"
80,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
81,"BTS","Dynamite"
82,"The Kid LAROI","WITHOUT YOU"
83,"Bad Bunny & Jhay Cortez","Dakiti"
84,"Lewis Capaldi","Before You Go"
85,"Lyanno, Rauw Alejandro & Lenny Tavarez Feat. Maria Becerra","En Tu Cuerpo (Remix)"
86,"SoulChef Feat. Nieve","Write This Down"
87,"Capital Cities","Safe And Sound"
88,"KAROL G","BICHOTA"
89,"Hiboky","Exil"
90,"Papu DJ","La Guerra"
91,"Bruno Mars","Locked Out Of Heaven"
92,"XXXTENTACION","Hope"
93,"Surf Mesa Feat. Emilee","ily (i love you baby)"
94,"Mother Mother","Hay Loft"
95,"Harry Styles","Watermelon Sugar"
96,"ZAYN Feat. Sia","Dusk Till Dawn"
97,"Dirty Heads","Vacation"
98,"Sech","911"
99,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
100,"Nathan Evans","Wellerman (Sea Shanty)"
101,"GIVĒON","HEARTBREAK ANNIVERSARY"
102,"Hoobastank","The Reason"
103,"George Michael","Careless Whisper"
104,"Olivia Dean","Echo"
105,"Redbone","Come And Get Your Love"
106,"Dua Lipa","Don't Start Now"
107,"Migrantes, Oscu & Rombai Feat. Agapornis, Alico & Nico Valdi","Si Me Tomo una Cerveza (Remix)"
108,"Powfu","death bed (feat. beabadoobee) [coffee for your head]"
109,"Claveles de la Cumbia","Te Juro Que Te Amo"
110,"Sebastián Yatra & Guaynaa","Chica Ideal"
111,"Capone","Streets Favorite"
112,"Tanczaca Krowa","Dancing Polish Cow"
113,"CNCO","Dejaría Todo"
114,"Michael Bublé","Feeling Good"
115,"The Police","Every Breath You Take"
116,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
117,"Justin Quiles, Natti Natasha & Farruko Feat. Zion, Dalex & Lenny Tavárez","DJ No Pare [Remix]"
118,"SAINt JHN","Roses (Imanbek Remix)"
119,"Adele","Set Fire To The Rain (Moto Blanco Remix)"
120,"Ariana Grande & Doja Cat","motive"
121,"Alan Walker & Ava Max","Alone, Pt. II"
122,"Journey","Don't Stop Believin'"
123,"Lewis Capaldi","Someone You Loved"
124,"347aidan","Dancing in My Room"
125,"Pascal Letoublon","Friendships"
126,"Alan Walker & salem ilese","Fake A Smile"
127,"Lady Gaga","Poker Face"
128,"Imagine Dragons","Believer"
129,"Really Slow Motion","Deadwood"
130,"DaBaby Feat. Roddy Ricch","ROCKSTAR"
131,"Natti Natasha & Prince Royce","ANTES QUE SALGA EL SOL"
132,"Eurythmics","Sweet Dreams (Are Made Of This)"
133,"Huey Dunbar","Te Amaré"
134,"ATB","9 Pm (Till I Come)"
135,"Nio Garcia, Rauw Alejandro & Lenny Tavarez Feat. Myke Towers, Casper Magico & Darell","Mírame (Remix)"
136,"Shawn Mendes","Stitches"
137,"Wisin, Myke Towers & Los Legendarios","Mi Niña"
138,"Rauf & Faik","Колыбельная"
139,"Cauty, Lenny Tavarez & Jay Wheeler Feat. Noriel & Alex Rose","Lloras (Remix)"
140,"Selena Gomez","Love You Like A Love Song (Midnight Sun Male Version)"
141,"Jeeiph","Bonita"
142,"Ludovico Einaudi","Experience"
143,"Kina Feat. Adriana Proenza","Can We Kiss Forever?"
144,"Ozuna & Camilo","Despeinada"
