Shazam Top 50 Arequipa
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Aya Nakamura","Copines"
3,"LA YOUNG","Como Estrellas"
4,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
5,"Desconocido","La Canción Más Misteriosa De Internet"
6,"Myke Towers & Juhn","Bandido"
7,"ElyOtto & Zedivan","Sugar Crash"
8,"kostromin","Моя голова винтом"
9,"Olivia Rodrigo","drivers license"
10,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
11,"Humbe","Sorpresa Sorpresa"
12,"Issam Alnajjar","Hadal Ahbek"
13,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
14,"NP HEAVEN","The Style Weekend (Remix)"
15,"Leat'eq","Tokyo"
16,"KAROL G, Anuel AA & J. Balvin","LOCATION"
17,"Kiddtetoon & Diego Smith","Illuminati"
18,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
19,"Tesher","Jalebi Baby"
20,"Rauw Alejandro & Anuel AA","Reloj"
21,"Boney M.","Rasputin"
22,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
23,"Twenty One Pilots","Stressed Out"
24,"Drake Feat. WizKid & Kyla","One Dance"
25,"The Weeknd","Blinding Lights"
26,"Duncan Laurence","Arcade"
27,"CNCO","Tan Enamorados"
28,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
29,"Gotye Feat. Kimbra","Somebody That I Used To Know"
30,"Adso Alejandro","Como Si Nada"
31,"Coldplay","Hymn For The Weekend"
32,"Avicii","The Nights"
33,"24kGoldn Feat. iann dior","Mood"
34,"Masked Wolf","Astronaut In The Ocean"
35,"Momokurotei Ichimon","Nippon Egao Hyakkei"
36,"Kaleo","Way Down We Go"
37,"Humbe","Confieso"
38,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
39,"Boza","Hecha Pa' Mi"
40,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
41,"Queen","Another One Bites The Dust"
42,"Gwen Stefani","Hollaback Girl"
43,"The Kid LAROI","WITHOUT YOU"
44,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
45,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
46,"ATB, Topic & A7S","Your Love (9PM)"
47,"Kim Dracula","Paparazzi"
48,"Hippie Sabotage","Devil Eyes"
49,"Dirty Heads","Vacation"
50,"Sia","Snowman"
