Shazam Top 50 Chiclayo
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"Myke Towers & Juhn","Bandido"
4,"Aya Nakamura","Copines"
5,"kostromin","Моя голова винтом"
6,"Desconocido","La Canción Más Misteriosa De Internet"
7,"LA YOUNG","Como Estrellas"
8,"ElyOtto & Zedivan","Sugar Crash"
9,"KAROL G, Anuel AA & J. Balvin","LOCATION"
10,"Humbe","Sorpresa Sorpresa"
11,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
12,"Kiddtetoon & Diego Smith","Illuminati"
13,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
14,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
15,"Rauw Alejandro & Anuel AA","Reloj"
16,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
17,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
18,"The Weeknd","Blinding Lights"
19,"Issam Alnajjar","Hadal Ahbek"
20,"Olivia Rodrigo","drivers license"
21,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
22,"CNCO","Tan Enamorados"
23,"Twenty One Pilots","Stressed Out"
24,"Masked Wolf","Astronaut In The Ocean"
25,"Boney M.","Rasputin"
26,"Gwen Stefani","Hollaback Girl"
27,"Boza","Hecha Pa' Mi"
28,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
29,"Migos Feat. Young Thug","YRN"
30,"NP HEAVEN","The Style Weekend (Remix)"
31,"Leat'eq","Tokyo"
32,"24kGoldn Feat. iann dior","Mood"
33,"Kim Dracula","Paparazzi"
34,"Kaleo","Way Down We Go"
35,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
36,"The Neighbourhood","Sweater Weather"
37,"Lady Gaga","Poker Face"
38,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
39,"Tesher","Jalebi Baby"
40,"Adso Alejandro","Como Si Nada"
41,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
42,"Queen","Another One Bites The Dust"
43,"Duncan Laurence","Arcade"
44,"Dua Lipa","Don't Start Now"
45,"Black Eyed Peas & Shakira","GIRL LIKE ME"
46,"Lyanno, Rauw Alejandro & Lenny Tavarez Feat. Maria Becerra","En Tu Cuerpo (Remix)"
47,"Capital Cities","Safe And Sound"
48,"ATB, Topic & A7S","Your Love (9PM)"
49,"Laura Branigan","Self Control"
50,"Israel Kamakawiwo'ole","Over The Rainbow"
