Shazam Top 50 Cusco
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Aya Nakamura","Copines"
3,"Desconocido","La Canción Más Misteriosa De Internet"
4,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
5,"Myke Towers & Juhn","Bandido"
6,"kostromin","Моя голова винтом"
7,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
8,"ElyOtto & Zedivan","Sugar Crash"
9,"LA YOUNG","Como Estrellas"
10,"Issam Alnajjar","Hadal Ahbek"
11,"NP HEAVEN","The Style Weekend (Remix)"
12,"Olivia Rodrigo","drivers license"
13,"Leat'eq","Tokyo"
14,"KAROL G, Anuel AA & J. Balvin","LOCATION"
15,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
16,"Humbe","Sorpresa Sorpresa"
17,"Rauw Alejandro & Anuel AA","Reloj"
18,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
19,"Boney M.","Rasputin"
20,"Stefflon Don","16 Shots"
21,"Pháo","2 Phút Hơn [KAIZ Remix]"
22,"The Weeknd","Blinding Lights"
23,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
24,"Camilo & Evaluna Montaner","Machu Picchu"
25,"Kiddtetoon & Diego Smith","Illuminati"
26,"The Weeknd","Save Your Tears"
27,"ATB, Topic & A7S","Your Love (9PM)"
28,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
29,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
30,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
31,"Boza","Hecha Pa' Mi"
32,"Drake Feat. WizKid & Kyla","One Dance"
33,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
34,"Armonia 10","Espérame"
35,"Migrantes & Alico","Si Me Tomo Una Cerveza"
36,"Coldplay","Yellow"
37,"Gwen Stefani","Hollaback Girl"
38,"Humbe","Confieso"
39,"Black Eyed Peas & Shakira","GIRL LIKE ME"
40,"Tesher","Jalebi Baby"
41,"CNCO","Tan Enamorados"
42,"Camilo & El Alfa","BEBÉ"
43,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
44,"Kaleo","Way Down We Go"
45,"The Neighbourhood","Sweater Weather"
46,"Queen","Another One Bites The Dust"
47,"Twenty One Pilots","Stressed Out"
48,"Eamon","F**k It (I Don't Want You Back)"
49,"Dua Lipa","Don't Start Now"
50,"Bad Bunny & Jhay Cortez","Dakiti"
