Shazam Top 50 Ica
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"Myke Towers & Juhn","Bandido"
5,"kostromin","Моя голова винтом"
6,"LA YOUNG","Como Estrellas"
7,"Olivia Rodrigo","drivers license"
8,"ElyOtto & Zedivan","Sugar Crash"
9,"Rauw Alejandro & Anuel AA","Reloj"
10,"The Neighbourhood","Sweater Weather"
11,"Aya Nakamura","Copines"
12,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
13,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
14,"Leat'eq","Tokyo"
15,"The Weeknd","Blinding Lights"
16,"Gwen Stefani","Hollaback Girl"
17,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
18,"Humbe","Sorpresa Sorpresa"
19,"Avicii","The Nights"
20,"Kiddtetoon & Diego Smith","Illuminati"
21,"Bad Bunny & Jhay Cortez","Dakiti"
22,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
23,"Migos Feat. Young Thug","YRN"
24,"Boney M.","Rasputin"
25,"Rihanna","Needed Me (Cosmic Dawn Club Mix)"
26,"Issam Alnajjar","Hadal Ahbek"
27,"KAROL G","BICHOTA"
28,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
29,"Alan Walker & salem ilese","Fake A Smile"
30,"Daft Punk Feat. Pharrell Williams","Get Lucky"
31,"Sia","Snowman"
32,"Hiboky","Exil"
33,"Masked Wolf","Astronaut In The Ocean"
34,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
35,"SZA & Justin Timberlake","The Other Side"
36,"Capital Cities","Safe And Sound"
37,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
38,"Magic!","Rude"
39,"Never Get Used To People","Life Letters"
40,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
41,"Lewis Capaldi","Before You Go"
42,"Adso Alejandro","Como Si Nada"
43,"Sebastián Yatra & Guaynaa","Chica Ideal"
44,"Migrantes, Oscu & Rombai Feat. Agapornis, Alico & Nico Valdi","Si Me Tomo una Cerveza (Remix)"
45,"Twenty One Pilots","Stressed Out"
46,"Hippie Sabotage","Devil Eyes"
47,"Drake Feat. WizKid & Kyla","One Dance"
48,"Hoobastank","The Reason"
49,"Duncan Laurence","Arcade"
50,"Black Eyed Peas & Shakira","GIRL LIKE ME"
