Shazam Top 50 Iquitos
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"Orquesta Caribeños De Guadalupe","Punto De Partida"
4,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
5,"kostromin","Моя голова винтом"
6,"Humbe","Sorpresa Sorpresa"
7,"Aya Nakamura","Copines"
8,"The Weeknd","Save Your Tears"
9,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
10,"Rauw Alejandro & Anuel AA","Reloj"
11,"Boney M.","Rasputin"
12,"Desconocido","La Canción Más Misteriosa De Internet"
13,"LA YOUNG","Como Estrellas"
14,"ElyOtto & Zedivan","Sugar Crash"
15,"Issam Alnajjar","Hadal Ahbek"
16,"Myke Towers & Juhn","Bandido"
17,"The Weeknd","Blinding Lights"
18,"Kiddtetoon & Diego Smith","Illuminati"
19,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
20,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
21,"DJ Mike Cruz","Medicine (Accapella)"
22,"Duncan Laurence","Arcade"
23,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
24,"GIVĒON","HEARTBREAK ANNIVERSARY"
25,"SZA & Justin Timberlake","The Other Side"
26,"Humbe","tú me hiciste volar"
27,"jusLo","BIG BANK"
28,"SoulChef Feat. Nieve","Write This Down"
29,"The Neighbourhood","Sweater Weather"
30,"Twenty One Pilots","Stressed Out"
31,"Michael Bublé","Feeling Good"
32,"Ali Gatie","It's You"
33,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
34,"CNCO","Tan Enamorados"
35,"Megan Thee Stallion","Body"
36,"Pháo","2 Phút Hơn [KAIZ Remix]"
37,"KAROL G, Anuel AA & J. Balvin","LOCATION"
38,"Los Inquietos","Despues De Amar"
39,"Rob $Tone Feat. J. Davi$ & Spooks","Chill Bill"
40,"ZAYN Feat. Sia","Dusk Till Dawn"
41,"Kina","Get You The Moon"
42,"DJ Peligro","San Judas City"
43,"La Combinación Vallenata","A Pesar de Todo"
44,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
45,"Maluma","ADMV"
46,"Adso Alejandro","Como Si Nada"
47,"Boza","Hecha Pa' Mi"
48,"ATB, Topic & A7S","Your Love (9PM)"
49,"KAROL G","BICHOTA"
50,"The Kid LAROI","WITHOUT YOU"
