Shazam Top 50 Lima
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Myke Towers & Juhn","Bandido"
4,"Aya Nakamura","Copines"
5,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
6,"ElyOtto & Zedivan","Sugar Crash"
7,"kostromin","Моя голова винтом"
8,"Olivia Rodrigo","drivers license"
9,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
10,"Rauw Alejandro & Anuel AA","Reloj"
11,"LA YOUNG","Como Estrellas"
12,"Humbe","Sorpresa Sorpresa"
13,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
14,"Kiddtetoon & Diego Smith","Illuminati"
15,"KAROL G, Anuel AA & J. Balvin","LOCATION"
16,"Leat'eq","Tokyo"
17,"The Weeknd","Blinding Lights"
18,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
19,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
20,"Issam Alnajjar","Hadal Ahbek"
21,"Boza","Hecha Pa' Mi"
22,"CNCO","Tan Enamorados"
23,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
24,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
25,"Boney M.","Rasputin"
26,"Duncan Laurence","Arcade"
27,"Masked Wolf","Astronaut In The Ocean"
28,"Black Eyed Peas & Shakira","GIRL LIKE ME"
29,"Adso Alejandro","Como Si Nada"
30,"The Weeknd","Save Your Tears"
31,"Twenty One Pilots","Stressed Out"
32,"24kGoldn Feat. iann dior","Mood"
33,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
34,"Migos Feat. Young Thug","YRN"
35,"Kaleo","Way Down We Go"
36,"Gwen Stefani","Hollaback Girl"
37,"Tesher","Jalebi Baby"
38,"Justin Quiles","Ponte Pa' Mi"
39,"Camilo & El Alfa","BEBÉ"
40,"NP HEAVEN","The Style Weekend (Remix)"
41,"Bring Me The Horizon","Can You Feel My Heart"
42,"Kim Dracula","Paparazzi"
43,"Ovy On The Drums & Danny Ocean Feat. KAROL G","Miedito o Qué?"
44,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
45,"Gotye Feat. Kimbra","Somebody That I Used To Know"
46,"Leyla Blue","What A Shame"
47,"Lewis Capaldi","Before You Go"
48,"SZA & Justin Timberlake","The Other Side"
49,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
50,"Surf Mesa Feat. Emilee","ily (i love you baby)"
