Shazam Top 50 Moyobamba
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Dylan Fuentes & Myke Towers & Dayme y El High","Ajena"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"ElyOtto & Zedivan","Sugar Crash"
4,"XXXTENTACION","Hope"
5,"Rauw Alejandro & Anuel AA","Reloj"
6,"Kali Uchis","telepatía"
7,"Aya Nakamura","Copines"
8,"Kiddtetoon & Diego Smith","Illuminati"
9,"Rihanna","Needed Me (Cosmic Dawn Club Mix)"
10,"LA YOUNG","Como Estrellas"
11,"CNCO","Tan Enamorados"
12,"Myke Towers & Juhn","Bandido"
13,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
14,"Paul Anka","Put Your Head On My Shoulder"
15,"Armonia 10","Espérame"
16,"Myke Towers, Farruko & Arcangel Feat. Sech & Zion","Si Se Da (Remix)"
17,"Zafiro Sensual","Mi Princesa"
18,"Adso Alejandro","Como Si Nada"
19,"24kGoldn Feat. iann dior","Mood"
20,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
21,"NP HEAVEN","The Style Weekend (Remix)"
22,"kostromin","Моя голова винтом"
23,"Humbe","Sorpresa Sorpresa"
24,"Audioslave","Like A Stone"
25,"One Direction","Night Changes"
26,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
27,"Coldplay","Yellow"
28,"Lord Huron","The Night We Met"
29,"Twenty One Pilots","Stressed Out"
30,"DJ xXx19xXx","Tao Lua Trong Dem"
31,"Kaleo","Way Down We Go"
32,"Mixeos DJs","Toma Toma (Mega Francesita)"
33,"Drake Feat. WizKid & Kyla","One Dance"
34,"Alok & Bruno Martini Feat. Zeeba","Hear Me Now"
35,"DJ Snake Feat. Justin Bieber","Let Me Love You"
36,"Martin Garrix & Bebe Rexha","In The Name Of Love"
37,"Pascal Letoublon","Friendships"
38,"Sia","Snowman"
39,"Le Click","Tonight Is The Night"
40,"Enrique Iglesias Feat. Bad Bunny","El Baño"
41,"Monchy & Alexandra","Dos Locos"
42,"Enanitos Verdes","Tu Carcel (En Vivo Desde Tijuana, Mexico/2004)"
43,"Capone","Streets Favorite"
44,"Kristal Gandhi","Savannah"
45,"N'SAMBLE","Me Vas A Extrañar"
46,"Ariana Grande","God Is A Woman"
47,"Tears For Fears","Everybody Wants To Rule The World (Extended Version)"
48,"Rihanna Feat. Jay-Z","Umbrella"
49,"Lady Gaga","Poker Face"
50,"Yugo Kanno","Il Vento D'oro (Golden Wind)"
