Shazam Top 50 Piura
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"Aya Nakamura","Copines"
4,"kostromin","Моя голова винтом"
5,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
6,"Myke Towers & Juhn","Bandido"
7,"Desconocido","La Canción Más Misteriosa De Internet"
8,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
9,"Issam Alnajjar","Hadal Ahbek"
10,"KAROL G, Anuel AA & J. Balvin","LOCATION"
11,"Humbe","Sorpresa Sorpresa"
12,"Kiddtetoon & Diego Smith","Illuminati"
13,"The Weeknd","Blinding Lights"
14,"NP HEAVEN","The Style Weekend (Remix)"
15,"Leat'eq","Tokyo"
16,"LA YOUNG","Como Estrellas"
17,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
18,"Rauw Alejandro & Anuel AA","Reloj"
19,"ElyOtto & Zedivan","Sugar Crash"
20,"Olivia Rodrigo","drivers license"
21,"Gwen Stefani","Hollaback Girl"
22,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
23,"Justin Quiles","Ponte Pa' Mi"
24,"Boney M.","Rasputin"
25,"Childish Gambino","Redbone"
26,"Tesher","Jalebi Baby"
27,"Kaleo","Way Down We Go"
28,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
29,"Magic!","Rude"
30,"Queen","Another One Bites The Dust"
31,"Twenty One Pilots","Stressed Out"
32,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
33,"Sech","911"
34,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
35,"SZA & Justin Timberlake","The Other Side"
36,"Adso Alejandro","Como Si Nada"
37,"KAROL G","BICHOTA"
38,"Hoobastank","The Reason"
39,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
40,"Hippie Sabotage","Devil Eyes"
41,"Drake Feat. WizKid & Kyla","One Dance"
42,"Olivia Dean","Echo"
43,"Nio Garcia, Rauw Alejandro & Lenny Tavarez Feat. Myke Towers, Casper Magico & Darell","Mírame (Remix)"
44,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
45,"Ovy On The Drums & Danny Ocean Feat. KAROL G","Miedito o Qué?"
46,"Humbe","tú me hiciste volar"
47,"Sia","Snowman"
48,"Adele","Set Fire To The Rain (Moto Blanco Remix)"
49,"Gotye Feat. Kimbra","Somebody That I Used To Know"
50,"ATB, Topic & A7S","Your Love (9PM)"
