Shazam Top 50 Pucallpa
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Myke Towers & Juhn","Bandido"
3,"Aya Nakamura","Copines"
4,"kostromin","Моя голова винтом"
5,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
6,"Adso Alejandro","Como Si Nada"
7,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
8,"Humbe","Sorpresa Sorpresa"
9,"Leat'eq","Tokyo"
10,"ElyOtto & Zedivan","Sugar Crash"
11,"LA YOUNG","Como Estrellas"
12,"Gwen Stefani","Hollaback Girl"
13,"Boza","Hecha Pa' Mi"
14,"CNCO","Tan Enamorados"
15,"Olivia Rodrigo","drivers license"
16,"Migos Feat. Young Thug","YRN"
17,"Desconocido","La Canción Más Misteriosa De Internet"
18,"SZA & Justin Timberlake","The Other Side"
19,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
20,"Issam Alnajjar","Hadal Ahbek"
21,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
22,"Kim Dracula","Paparazzi"
23,"KAROL G, Anuel AA & J. Balvin","LOCATION"
24,"Masked Wolf","Astronaut In The Ocean"
25,"Kiddtetoon & Diego Smith","Illuminati"
26,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
27,"Jerry Rivera","Casi Un Hechizo"
28,"Journey","Don't Stop Believin'"
29,"Lewis Capaldi","Someone You Loved"
30,"Lele Pons & Guaynaa","Se Te Nota"
31,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
32,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
33,"Duncan Laurence","Arcade"
34,"Tanczaca Krowa","Dancing Polish Cow"
35,"KAROL G","BICHOTA"
36,"Rauw Alejandro & Anuel AA","Reloj"
37,"Nio García & Casper Mágico","Travesuras"
38,"NP HEAVEN","The Style Weekend (Remix)"
39,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
40,"Israel Kamakawiwo'ole","Over The Rainbow"
41,"Imagine Dragons","Believer"
42,"Lady Gaga","Poker Face"
43,"Lyanno, Rauw Alejandro & Lenny Tavarez Feat. Maria Becerra","En Tu Cuerpo (Remix)"
44,"Tesher","Jalebi Baby"
45,"Pháo","2 Phút Hơn [KAIZ Remix]"
46,"Twenty One Pilots","Stressed Out"
47,"Haddaway","What Is Love"
48,"Rihanna","Needed Me (Cosmic Dawn Club Mix)"
49,"Colbie Caillat","Bubbly"
50,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
