Shazam Top 50 Tacna
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Aya Nakamura","Copines"
4,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
5,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
6,"kostromin","Моя голова винтом"
7,"ElyOtto & Zedivan","Sugar Crash"
8,"LA YOUNG","Como Estrellas"
9,"Myke Towers & Juhn","Bandido"
10,"KAROL G, Anuel AA & J. Balvin","LOCATION"
11,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
12,"The Weeknd","Blinding Lights"
13,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
14,"Humbe","Sorpresa Sorpresa"
15,"Olivia Rodrigo","drivers license"
16,"Issam Alnajjar","Hadal Ahbek"
17,"Kiddtetoon & Diego Smith","Illuminati"
18,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
19,"Leat'eq","Tokyo"
20,"Boney M.","Rasputin"
21,"Duncan Laurence","Arcade"
22,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
23,"NP HEAVEN","The Style Weekend (Remix)"
24,"Boza","Hecha Pa' Mi"
25,"Rauw Alejandro & Anuel AA","Reloj"
26,"Hiboky","Exil"
27,"Papu DJ","La Guerra"
28,"Black Eyed Peas & Shakira","GIRL LIKE ME"
29,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
30,"Momokurotei Ichimon","Nippon Egao Hyakkei"
31,"Gwen Stefani","Hollaback Girl"
32,"Gotye Feat. Kimbra","Somebody That I Used To Know"
33,"ATB, Topic & A7S","Your Love (9PM)"
34,"SoulChef Feat. Nieve","Write This Down"
35,"Kaleo","Way Down We Go"
36,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
37,"Leyla Blue","What A Shame"
38,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
39,"Masked Wolf","Astronaut In The Ocean"
40,"Tesher","Jalebi Baby"
41,"Migrantes & Alico","Si Me Tomo Una Cerveza"
42,"Camilo & El Alfa","BEBÉ"
43,"Paul Anka","Put Your Head On My Shoulder"
44,"Never Get Used To People","Life Letters"
45,"BTS","Dynamite"
46,"CNCO","Tan Enamorados"
47,"Camilo & Evaluna Montaner","Machu Picchu"
48,"Drake Feat. WizKid & Kyla","One Dance"
49,"Humbe","Confieso"
50,"Bad Bunny & Jhay Cortez","Dakiti"
