Shazam Top 50 Tambopata
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"LA YOUNG","Como Estrellas"
2,"Steve Jablonsky","Tessa"
3,"Cartoon Feat. Daniel Levi","On & On"
4,"Duki Feat. KHEA","She Don't Give a FO"
5,"Boza","Hecha Pa' Mi"
6,"Kali Uchis","telepatía"
7,"BewhY","Side by Side"
8,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
9,"Athena Cage","All Or Nothing"
10,"Shakira","Inevitable"
11,"Myriam Hernández","El Hombre Que Yo Amo"
12,"Isabel Pantoja","Asi Fue"
13,"Migos Feat. Young Thug","YRN"
14,"Willie Gonzalez","No Podras Escapar De Mi"
15,"Diego Torres","Tratar De Estar Mejor"
16,"Puerto Rican Power","Tu Cariñito"
17,"El Tri","Nunca Digas Que No"
18,"La Lupita","Paquita Disco"
19,"Jerry Rivera","Nada Sin Ti"
20,"Juluka","Ibola Lethu"
21,"Claude Debussy","Clair De Lune"
22,"Umberto Tozzi","Ti Amo"
23,"Chet Faker","Gold"
24,"Corazón Serrano","Fuiste Malo"
25,"Coldplay","Clocks"
26,"Audioslave","Like A Stone"
27,"Katie Sky","Monsters"
28,"David Guetta Feat. Sam Martin","Lovers On The Sun"
29,"Pitbull Feat. John Ryan","Fireball"
30,"Imagine Dragons","Warriors"
31,"Phantom Joyce","No Te Salgas De Mi Corazón"
32,"Audrey Martells","Hate The Playaz"
33,"Shaggy Feat. Rayvon","Angel"
34,"Ameritz Tracks Planet","Set Fire to the Rain (Live at Royal Albert Hall) [In the Style of Adele] [Karaoke Version]"
35,"Grupo 5","La Subienda"
36,"Robbie Williams","Angels"
37,"Nirvana","Heart-Shaped Box"
38,"R.E.M.","Losing My Religion"
39,"UB40","Here I Am (Come And Take Me)"
40,"Alesso Feat. Roy English","Cool (Extended Version)"
41,"Petit Biscuit","Sunset Lover"
42,"T-Wayne","Nasty Freestyle"
43,"Jon Secada","Just Another Day"
44,"Danny Mendoza","Dejame"
45,"梁 邦彦","暁のヨナ/Akatsuki-No-Yona"
46,"Mariah Carey","Without You"
47,"Joan Jett & The Blackhearts","I Love Rock N' Roll"
48,"Tiger JK Feat. Jinsil","Reset"
49,"La Liga Del Sueño","Mala Sangre"
50,"K-Ci & JoJo","Crazy"
